2020-04-24 at 15:49:30 | SUCCESS | 消息内容:{'start_time': '1587714514', 'end_time': '1587714515', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss'}  消息处理总量:2条
2020-04-24 at 15:51:40 | SUCCESS | 消息内容:{'start_time': '1587714548', 'end_time': '1587714584', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:20条
2020-04-24 at 15:54:10 | SUCCESS | 消息内容:{'start_time': '1587714844', 'end_time': '1587714850', 'collection_name': 'sy_news_hangye_bjx_raw', 'spider_name': 'hangye_bjx_yaowen'}  消息处理总量:10条
2020-04-24 at 15:54:59 | SUCCESS | 消息内容:{'start_time': '1587714832', 'end_time': '1587714832', 'spider_name': 'caijing_sina_chanjing', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-04-24 at 15:56:19 | SUCCESS | 消息内容:{'start_time': '1587714857', 'end_time': '1587714896', 'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:23条
2020-04-24 at 15:58:05 | SUCCESS | 消息内容:{'start_time': '1587715025', 'end_time': '1587715025', 'spider_name': 'caijing_stockstar_gs', 'collection_name': 'sy_news_finance_stockstar_raw'}  消息处理总量:1条
2020-04-24 at 16:01:01 | SUCCESS | 消息内容:{'start_time': '1587715168', 'end_time': '1587715183', 'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:22条
2020-04-24 at 16:01:49 | SUCCESS | 消息内容:{'start_time': '1587715244', 'end_time': '1587715247', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing'}  消息处理总量:5条
2020-04-24 at 16:03:08 | SUCCESS | 消息内容:{'start_time': '1587715332', 'end_time': '1587715332', 'spider_name': 'caijing_stcn_gs', 'collection_name': 'sy_news_finance_stcn_raw'}  消息处理总量:1条
2020-04-24 at 16:04:23 | SUCCESS | 消息内容:{'start_time': '1587715477', 'end_time': '1587715477', 'collection_name': 'sy_news_hangye_smm_raw', 'spider_name': 'hangye_smm_news'}  消息处理总量:1条
2020-04-24 at 16:05:22 | SUCCESS | 消息内容:{'start_time': '1587715453', 'end_time': '1587715459', 'collection_name': 'sy_news_finance_cnfol_raw', 'spider_name': 'caijing_cnfol_gegu'}  消息处理总量:9条
2020-04-24 at 16:05:56 | SUCCESS | 消息内容:{'start_time': '1587715484', 'end_time': '1587715485', 'spider_name': 'caijing_bjnews_finance', 'collection_name': 'sy_news_finance_bjnews_raw'}  消息处理总量:3条
2020-04-24 at 16:06:56 | SUCCESS | 消息内容:{'start_time': '1587715554', 'end_time': '1587715556', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing'}  消息处理总量:4条
