2020-06-02 at 16:46:41 | SUCCESS | 消息内容:{'start_time': '1591087592', 'spider_name': 'caijing_cb_chanye', 'end_time': '1591087592', 'collection_name': 'sy_news_finance_cb_raw'}  消息处理总量:1条
2020-06-02 at 16:46:41 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591087515', 'start_time': '1591087515', 'spider_name': 'caijing_sina_zsscdt'}  消息处理总量:1条
2020-06-02 at 16:46:42 | SUCCESS | 消息内容:{'start_time': '1591087574', 'collection_name': 'sy_news_finance_stockstar_raw', 'end_time': '1591087585', 'spider_name': 'caijing_stockstar_gs'}  消息处理总量:19条
2020-06-02 at 16:46:50 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_pedaily_raw', 'spider_name': 'caijing_pedaily_gundong', 'end_time': '1591087587', 'start_time': '1591087583'}  消息处理总量:6条
2020-06-02 at 16:47:04 | SUCCESS | 消息内容:{'start_time': '1591087621', 'spider_name': 'caijing_sina_guonei', 'end_time': '1591087621', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-06-02 at 16:47:32 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1591087655', 'spider_name': 'caijing_sina_kcb', 'start_time': '1591087655'}  消息处理总量:1条
2020-06-02 at 16:47:36 | SUCCESS | 消息内容:{'start_time': '1591087648', 'collection_name': 'sy_news_finance_zhicheng_raw', 'end_time': '1591087648', 'spider_name': 'caijing_zhicheng_caijing'}  消息处理总量:1条
2020-06-02 at 16:47:37 | SUCCESS | 消息内容:{'start_time': '1591087635', 'spider_name': 'caijing_36kr_zixun', 'end_time': '1591087635', 'collection_name': 'sy_news_finance_36kr_raw'}  消息处理总量:1条
2020-06-02 at 16:47:40 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1591087665', 'start_time': '1591087665', 'spider_name': 'caijing_jrj_xsb'}  消息处理总量:1条
2020-06-02 at 16:48:20 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_southmoney_raw', 'spider_name': 'caijing_southmoney_caijingyaowen', 'end_time': '1591087697', 'start_time': '1591087697'}  消息处理总量:1条
2020-06-02 at 16:48:24 | SUCCESS | 消息内容:{'start_time': '1591087702', 'collection_name': 'sy_news_finance_caijing_raw', 'end_time': '1591087704', 'spider_name': 'caijing_caijing_hongguan'}  消息处理总量:4条
2020-06-02 at 16:48:53 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591087728', 'spider_name': 'caijing_eastmoney_ganggu', 'start_time': '1591087725'}  消息处理总量:7条
2020-06-02 at 16:49:04 | SUCCESS | 消息内容:{'start_time': '1591087723', 'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1591087724', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:2条
2020-06-02 at 16:50:09 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sohu_raw', 'spider_name': 'caijing_sohu_hs', 'end_time': '1591087814', 'start_time': '1591087814'}  消息处理总量:1条
2020-06-02 at 16:50:26 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1591087829', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1591087828'}  消息处理总量:2条
2020-06-02 at 16:50:44 | SUCCESS | 消息内容:{'start_time': '1591087843', 'collection_name': 'sy_news_finance_sohu_raw', 'end_time': '1591087843', 'spider_name': 'caijing_sohu_xsb'}  消息处理总量:1条
