2020-06-30 at 09:15:14 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_chanjing', 'end_time': '1592819228', 'collection_name': 'sy_news_finance_jrj_raw', 'start_time': '1592819224'}  消息处理总量:6条
2020-06-30 at 09:15:17 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1592819234', 'end_time': '1592819236'}  消息处理总量:4条
2020-06-30 at 09:15:21 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_xsb', 'start_time': '1592819355', 'end_time': '1592819355'}  消息处理总量:2条
2020-06-30 at 09:15:22 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_guonei', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1592819312', 'start_time': '1592819312'}  消息处理总量:1条
2020-06-30 at 09:15:27 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_36kr_raw', 'spider_name': 'caijing_36kr_zixun', 'start_time': '1592819323', 'end_time': '1592819324'}  消息处理总量:2条
2020-06-30 at 09:15:29 | SUCCESS | 消息内容:{'spider_name': 'caijing_hexun_gsyw', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1592819382', 'start_time': '1592819382'}  消息处理总量:1条
2020-06-30 at 09:15:31 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_thepaper_raw', 'spider_name': 'caijing_thepaper_cjgs', 'start_time': '1592819385', 'end_time': '1592819385'}  消息处理总量:1条
2020-06-30 at 09:15:36 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ganggu', 'start_time': '1592819414', 'end_time': '1592819415'}  消息处理总量:2条
2020-06-30 at 09:15:37 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_gncj', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1592819405', 'start_time': '1592819405'}  消息处理总量:2条
2020-06-30 at 09:15:46 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'start_time': '1592819415', 'end_time': '1592819422'}  消息处理总量:6条
2020-06-30 at 09:15:50 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_ssgs', 'start_time': '1592819494', 'end_time': '1592819495'}  消息处理总量:2条
2020-06-30 at 09:15:52 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1592819474', 'start_time': '1592819468'}  消息处理总量:10条
2020-06-30 at 09:15:57 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnfol_raw', 'spider_name': 'caijing_cnfol_gncj', 'start_time': '1592819502', 'end_time': '1592819502'}  消息处理总量:1条
2020-06-30 at 09:16:00 | SUCCESS | 消息内容:{'spider_name': 'caijing_wabei_chanye', 'end_time': '1592819478', 'collection_name': 'sy_news_finance_wabei_raw', 'start_time': '1592819445'}  消息处理总量:5条
2020-06-30 at 09:16:02 | SUCCESS | 消息内容:{'spider_name': 'caijing_thepaper_cjsxy', 'collection_name': 'sy_news_finance_thepaper_raw', 'end_time': '1592819564', 'start_time': '1592819564'}  消息处理总量:1条
2020-06-30 at 09:16:04 | SUCCESS | 消息内容:{'start_time': '1592819158', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1592819183', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:38条
2020-06-30 at 09:16:06 | SUCCESS | 消息内容:{'start_time': '1592819623', 'spider_name': 'caijing_sina_guonei', 'end_time': '1592819623', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-06-30 at 09:16:07 | SUCCESS | 消息内容:{'spider_name': 'caijing_10jqka_cjyw', 'end_time': '1592819557', 'collection_name': 'sy_news_finance_10jqka_raw', 'start_time': '1592819550'}  消息处理总量:2条
2020-06-30 at 09:16:08 | SUCCESS | 消息内容:{'start_time': '1592819624', 'spider_name': 'caijing_stcn_gs', 'end_time': '1592819624', 'collection_name': 'sy_news_finance_stcn_raw'}  消息处理总量:2条
2020-06-30 at 09:16:10 | SUCCESS | 消息内容:{'spider_name': 'caijing_guancha_dagongsi', 'end_time': '1592819626', 'collection_name': 'sy_news_finance_guancha_raw', 'start_time': '1592819626'}  消息处理总量:1条
2020-06-30 at 09:16:11 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1592819545', 'end_time': '1592819552'}  消息处理总量:12条
2020-06-30 at 09:16:18 | SUCCESS | 消息内容:{'start_time': '1592819623', 'spider_name': 'caijing_huxiu_zixun', 'end_time': '1592819630', 'collection_name': 'sy_news_finance_huxiu_raw'}  消息处理总量:3条
2020-06-30 at 09:16:23 | SUCCESS | 消息内容:{'start_time': '1592819695', 'spider_name': 'caijing_stockstar_zqyw', 'end_time': '1592819704', 'collection_name': 'sy_news_finance_stockstar_raw'}  消息处理总量:9条
2020-06-30 at 09:16:26 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1592819694', 'end_time': '1592819706'}  消息处理总量:18条
2020-06-30 at 09:16:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'start_time': '1592819744', 'end_time': '1592819744'}  消息处理总量:1条
2020-06-30 at 09:16:29 | SUCCESS | 消息内容:{'start_time': '1592819699', 'spider_name': 'caijing_thecapital_zixun', 'end_time': '1592819705', 'collection_name': 'sy_news_finance_thecapital_raw'}  消息处理总量:2条
2020-06-30 at 09:16:32 | SUCCESS | 消息内容:{'start_time': '1592819752', 'spider_name': 'caijing_sina_chanjing', 'end_time': '1592819752', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-06-30 at 09:16:33 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ganggu', 'start_time': '1592819725', 'end_time': '1592819747'}  消息处理总量:2条
2020-06-30 at 09:16:34 | SUCCESS | 消息内容:{'spider_name': 'caijing_cnfol_gegu', 'end_time': '1592819657', 'collection_name': 'sy_news_finance_cnfol_raw', 'start_time': '1592819642'}  消息处理总量:26条
2020-06-30 at 09:16:39 | SUCCESS | 消息内容:{'start_time': '1592819792', 'spider_name': 'caijing_sohu_hs', 'end_time': '1592819792', 'collection_name': 'sy_news_finance_sohu_raw'}  消息处理总量:1条
2020-06-30 at 09:16:42 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_ssgs', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1592819805', 'start_time': '1592819805'}  消息处理总量:1条
2020-06-30 at 09:16:42 | SUCCESS | 消息内容:{'start_time': '1592819825', 'spider_name': 'caijing_stockstar_gs', 'end_time': '1592819828', 'collection_name': 'sy_news_finance_stockstar_raw'}  消息处理总量:6条
2020-06-30 at 09:16:47 | SUCCESS | 消息内容:{'start_time': '1592819854', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1592819855', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:2条
2020-06-30 at 09:16:49 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_chanjing', 'end_time': '1592819847', 'collection_name': 'sy_news_finance_jrj_raw', 'start_time': '1592819844'}  消息处理总量:6条
2020-06-30 at 09:16:52 | SUCCESS | 消息内容:{'start_time': '1592819932', 'spider_name': 'caijing_sina_guonei', 'end_time': '1592819933', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:3条
2020-06-30 at 09:16:54 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_jijin', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1592819873', 'start_time': '1592819873'}  消息处理总量:1条
2020-06-30 at 09:16:56 | SUCCESS | 消息内容:{'start_time': '1592819946', 'spider_name': 'caijing_36kr_zixun', 'end_time': '1592819946', 'collection_name': 'sy_news_finance_36kr_raw'}  消息处理总量:1条
2020-06-30 at 09:16:58 | SUCCESS | 消息内容:{'spider_name': 'caijing_cnstock_cyjj', 'collection_name': 'sy_news_finance_cnstock_raw', 'end_time': '1592819962', 'start_time': '1592819961'}  消息处理总量:2条
2020-06-30 at 09:16:59 | SUCCESS | 消息内容:{'start_time': '1592819979', 'spider_name': 'caijing_jrj_xsb', 'end_time': '1592819979', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:1条
2020-06-30 at 09:17:03 | SUCCESS | 消息内容:{'start_time': '1592820024', 'spider_name': 'caijing_jrj_gncj', 'end_time': '1592820024', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:2条
2020-06-30 at 09:17:07 | SUCCESS | 消息内容:{'spider_name': 'caijing_hexun_gsyw', 'end_time': '1592820007', 'collection_name': 'sy_news_finance_hexun_raw', 'start_time': '1592820005'}  消息处理总量:5条
2020-06-30 at 09:17:08 | SUCCESS | 消息内容:{'start_time': '1592820035', 'spider_name': 'caijing_eastmoney_ganggu', 'end_time': '1592820035', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:3条
2020-06-30 at 09:17:10 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_chanjing', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1592820062', 'start_time': '1592820062'}  消息处理总量:2条
2020-06-30 at 09:17:14 | SUCCESS | 消息内容:{'start_time': '1592820033', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1592820052', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:3条
