2020-07-03 at 18:10:52 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_gncj', 'end_time': '1593762905', 'collection_name': 'sy_news_finance_jrj_raw', 'start_time': '1593762904'}  消息处理总量:2条
2020-07-03 at 18:10:57 | SUCCESS | 消息内容:{'spider_name': 'caijing_emoney_ssgs', 'start_time': '1593762895', 'end_time': '1593762897', 'collection_name': 'sy_news_finance_emoney_raw'}  消息处理总量:4条
2020-07-03 at 18:11:05 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastday_caijing', 'start_time': '1593762918', 'end_time': '1593762919', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:3条
2020-07-03 at 18:11:09 | SUCCESS | 消息内容:{'start_time': '1593762883', 'end_time': '1593762888', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw'}  消息处理总量:10条
2020-07-03 at 18:11:09 | SUCCESS | 消息内容:{'spider_name': 'caijing_china_bank', 'start_time': '1593762943', 'end_time': '1593762943', 'collection_name': 'sy_news_finance_china_raw'}  消息处理总量:1条
2020-07-03 at 18:11:13 | SUCCESS | 消息内容:{'spider_name': 'caijing_iyiou_kuaixun', 'start_time': '1593762943', 'end_time': '1593762943', 'collection_name': 'sy_news_finance_iyiou_raw'}  消息处理总量:1条
2020-07-03 at 18:11:16 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_ss', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1593762939', 'start_time': '1593762935'}  消息处理总量:7条
2020-07-03 at 18:11:17 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_chanjing', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1593762943', 'start_time': '1593762942'}  消息处理总量:3条
2020-07-03 at 18:11:20 | SUCCESS | 消息内容:{'spider_name': 'hangye_cenews_yaowen', 'collection_name': 'sy_news_hangye_cenews_raw', 'end_time': '1593763002', 'start_time': '1593763002'}  消息处理总量:1条
2020-07-03 at 18:11:27 | SUCCESS | 消息内容:{'start_time': '1593762994', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1593762997', 'spider_name': 'caijing_sina_ssgs'}  消息处理总量:4条
2020-07-03 at 18:11:32 | SUCCESS | 消息内容:{'spider_name': 'hangye_cbcie_news', 'end_time': '1593763034', 'collection_name': 'sy_news_hangye_cbcie_raw', 'start_time': '1593763032'}  消息处理总量:5条
