2020-07-09 at 10:40:59 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_stonesm_raw', 'start_time': '1594259733', 'end_time': '1594259733', 'spider_name': 'hangye_stonesm_news'}  消息处理总量:1条
2020-07-09 at 10:41:04 | SUCCESS | 消息内容:{'start_time': '1594259682', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1594259686', 'spider_name': 'caijing_hexun_hongguan'}  消息处理总量:3条
2020-07-09 at 10:41:06 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_lieyunwang_raw', 'start_time': '1594259714', 'end_time': '1594259714', 'spider_name': 'caijing_lieyunwang_zixun'}  消息处理总量:1条
2020-07-09 at 10:41:06 | SUCCESS | 消息内容:{'start_time': '1594259754', 'end_time': '1594259756', 'collection_name': 'sy_news_hangye_smm_raw', 'spider_name': 'hangye_smm_news'}  消息处理总量:4条
2020-07-09 at 10:41:08 | SUCCESS | 消息内容:{'end_time': '1594259742', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'start_time': '1594259742'}  消息处理总量:1条
2020-07-09 at 10:41:09 | SUCCESS | 消息内容:{'start_time': '1594259814', 'end_time': '1594259814', 'spider_name': 'caijing_qq_hongguan', 'collection_name': 'sy_news_finance_qq_raw'}  消息处理总量:1条
2020-07-09 at 10:41:11 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_36kr_raw', 'start_time': '1594259762', 'end_time': '1594259762', 'spider_name': 'caijing_36kr_zixun'}  消息处理总量:1条
2020-07-09 at 10:41:11 | SUCCESS | 消息内容:{'start_time': '1594259814', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1594259814'}  消息处理总量:1条
2020-07-09 at 10:41:16 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1594259850', 'end_time': '1594259850', 'spider_name': 'caijing_eastmoney_ganggu'}  消息处理总量:1条
2020-07-09 at 10:41:22 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1594259897', 'end_time': '1594259898', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:3条
2020-07-09 at 10:41:23 | SUCCESS | 消息内容:{'spider_name': 'caijing_10jqka_hyyj', 'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1594259829', 'start_time': '1594259815'}  消息处理总量:5条
2020-07-09 at 10:41:25 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_emoney_raw', 'start_time': '1594259902', 'end_time': '1594259902', 'spider_name': 'caijing_emoney_ssgs'}  消息处理总量:1条
2020-07-09 at 10:41:30 | SUCCESS | 消息内容:{'start_time': '1594259793', 'end_time': '1594259796', 'spider_name': 'news_stats_zxfb', 'collection_name': 'sy_news_stats_raw'}  消息处理总量:3条
2020-07-09 at 10:41:32 | SUCCESS | 消息内容:{'end_time': '1594259926', 'start_time': '1594259925', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_ssgs'}  消息处理总量:3条
2020-07-09 at 10:41:37 | SUCCESS | 消息内容:{'spider_name': 'caijing_21so_chanye', 'collection_name': 'sy_news_finance_21so_raw', 'end_time': '1594259955', 'start_time': '1594259955'}  消息处理总量:1条
2020-07-09 at 10:41:40 | SUCCESS | 消息内容:{'start_time': '1594259947', 'end_time': '1594259949', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj'}  消息处理总量:3条
2020-07-09 at 10:41:44 | SUCCESS | 消息内容:{'end_time': '1594259964', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_chanjing', 'start_time': '1594259963'}  消息处理总量:2条
2020-07-09 at 10:41:45 | SUCCESS | 消息内容:{'start_time': '1594259983', 'end_time': '1594259983', 'collection_name': 'sy_news_hangye_autohome_raw', 'spider_name': 'hangye_autohome_news'}  消息处理总量:2条
