2020-07-13 at 16:03:24 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_chinaventure_raw', 'start_time': '1594627326', 'end_time': '1594627331', 'spider_name': 'caijing_chinaventure_tuijian'}  消息处理总量:2条
2020-07-13 at 16:03:24 | SUCCESS | 消息内容:{'end_time': '1594627398', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1594627396'}  消息处理总量:3条
2020-07-13 at 16:03:27 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1594627401', 'end_time': '1594627402', 'spider_name': 'caijing_sina_guonei'}  消息处理总量:2条
2020-07-13 at 16:03:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_askci_raw', 'start_time': '1594627395', 'end_time': '1594627397', 'spider_name': 'caijing_askci_gcy'}  消息处理总量:3条
2020-07-13 at 16:03:35 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1594627340', 'end_time': '1594627340', 'spider_name': 'caijing_eastmoney_wh'}  消息处理总量:1条
2020-07-13 at 16:03:41 | SUCCESS | 消息内容:{'end_time': '1594627413', 'collection_name': 'sy_news_mca_raw', 'spider_name': 'news_mca_tzgg', 'start_time': '1594627413'}  消息处理总量:1条
2020-07-13 at 16:03:49 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_thepaper_raw', 'start_time': '1594627444', 'end_time': '1594627444', 'spider_name': 'caijing_thepaper_cjgs'}  消息处理总量:1条
2020-07-13 at 16:03:57 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_qq_raw', 'start_time': '1594627440', 'end_time': '1594627446', 'spider_name': 'caijing_qq_zhaiquan'}  消息处理总量:2条
2020-07-13 at 16:03:58 | SUCCESS | 消息内容:{'end_time': '1594627415', 'collection_name': 'sy_news_finance_36kr_raw', 'spider_name': 'caijing_36kr_zixun', 'start_time': '1594627415'}  消息处理总量:1条
2020-07-13 at 16:04:32 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_eefocus_raw', 'start_time': '1594627504', 'end_time': '1594627504', 'spider_name': 'hangye_eefocus_news'}  消息处理总量:1条
2020-07-13 at 16:04:40 | SUCCESS | 消息内容:{'end_time': '1594627494', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_gncj', 'start_time': '1594627494'}  消息处理总量:1条
2020-07-13 at 16:04:53 | SUCCESS | 消息内容:{'end_time': '1594627487', 'start_time': '1594627473', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw'}  消息处理总量:16条
2020-07-13 at 16:04:55 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1594627507', 'end_time': '1594627508', 'spider_name': 'caijing_eastmoney_ganggu'}  消息处理总量:3条
2020-07-13 at 16:05:06 | SUCCESS | 消息内容:{'end_time': '1594627453', 'spider_name': 'caijing_wabei_chanye', 'collection_name': 'sy_news_finance_wabei_raw', 'start_time': '1594627453'}  消息处理总量:1条
