2020-07-14 at 10:20:07 | SUCCESS | 消息内容:{'end_time': '1594689425', 'start_time': '1594689425', 'spider_name': 'caijing_stockstar_kcb', 'collection_name': 'sy_news_finance_stockstar_raw'}  消息处理总量:1条
2020-07-14 at 10:20:10 | SUCCESS | 消息内容:{'spider_name': 'caijing_hexun_gsyw', 'end_time': '1594689476', 'start_time': '1594689475', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:2条
2020-07-14 at 10:20:11 | SUCCESS | 消息内容:{'spider_name': 'caijing_36kr_zixun', 'collection_name': 'sy_news_finance_36kr_raw', 'start_time': '1594689414', 'end_time': '1594689421'}  消息处理总量:2条
2020-07-14 at 10:20:12 | SUCCESS | 消息内容:{'end_time': '1594689475', 'start_time': '1594689475', 'spider_name': 'caijing_china_house', 'collection_name': 'sy_news_finance_china_raw'}  消息处理总量:1条
2020-07-14 at 10:20:13 | SUCCESS | 消息内容:{'spider_name': 'hangye_solidwaste_news', 'end_time': '1594689497', 'collection_name': 'sy_news_hangye_solidwaste_raw', 'start_time': '1594689497'}  消息处理总量:1条
2020-07-14 at 10:20:16 | SUCCESS | 消息内容:{'end_time': '1594689478', 'collection_name': 'sy_news_finance_southmoney_raw', 'start_time': '1594689475', 'spider_name': 'caijing_southmoney_caijingyaowen'}  消息处理总量:3条
2020-07-14 at 10:20:19 | SUCCESS | 消息内容:{'end_time': '1594689505', 'start_time': '1594689504', 'spider_name': 'caijing_eastmoney_ganggu', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:2条
2020-07-14 at 10:20:21 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_jigou_all', 'end_time': '1594689403', 'start_time': '1594689373', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:4条
2020-07-14 at 10:20:22 | SUCCESS | 消息内容:{'end_time': '1594689532', 'start_time': '1594689532', 'spider_name': 'caijing_sina_chanjing', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-07-14 at 10:20:24 | SUCCESS | 消息内容:{'end_time': '1594689524', 'collection_name': 'sy_news_finance_gmw_raw', 'start_time': '1594689522', 'spider_name': 'caijing_gmw_jjyw'}  消息处理总量:4条
2020-07-14 at 10:20:31 | SUCCESS | 消息内容:{'start_time': '1594689545', 'spider_name': 'hangye_bjx_yaowen', 'end_time': '1594689554', 'collection_name': 'sy_news_hangye_bjx_raw'}  消息处理总量:13条
2020-07-14 at 10:20:35 | SUCCESS | 消息内容:{'start_time': '1594689608', 'spider_name': 'caijing_eastmoney_cgnjj', 'end_time': '1594689609', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:2条
2020-07-14 at 10:20:39 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1594689635', 'start_time': '1594689635', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-07-14 at 10:20:42 | SUCCESS | 消息内容:{'end_time': '1594689565', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1594689557'}  消息处理总量:15条
