2020-07-24 at 10:27:06 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_thepaper_raw', 'end_time': '1595557558', 'start_time': '1595557558', 'spider_name': 'caijing_thepaper_cjgs'}  消息处理总量:1条
2020-07-24 at 10:27:09 | SUCCESS | 消息内容:{'end_time': '1595557562', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1595557561', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:4条
2020-07-24 at 10:27:13 | SUCCESS | 消息内容:{'end_time': '1595557587', 'start_time': '1595557584', 'spider_name': 'hangye_dramx_news', 'collection_name': 'sy_news_hangye_dramx_raw'}  消息处理总量:7条
2020-07-24 at 10:27:14 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1595557468', 'spider_name': 'caijing_eastmoney_jigou_all', 'start_time': '1595557436'}  消息处理总量:4条
2020-07-24 at 10:27:18 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_autohome_raw', 'spider_name': 'hangye_autohome_news', 'start_time': '1595557642', 'end_time': '1595557644'}  消息处理总量:4条
2020-07-24 at 10:27:21 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1595557637', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1595557635'}  消息处理总量:3条
2020-07-24 at 10:27:23 | SUCCESS | 消息内容:{'end_time': '1595557655', 'collection_name': 'sy_news_finance_hexun_raw', 'start_time': '1595557655', 'spider_name': 'caijing_hexun_hongguan'}  消息处理总量:2条
2020-07-24 at 10:27:24 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_leju_raw', 'end_time': '1595557595', 'spider_name': 'caijing_leju_lejucaijing_all', 'start_time': '1595557573'}  消息处理总量:2条
2020-07-24 at 10:27:28 | SUCCESS | 消息内容:{'start_time': '1595557624', 'end_time': '1595557629', 'spider_name': 'caijing_jrj_chanjing', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:9条
2020-07-24 at 10:27:43 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_huxiu_raw', 'end_time': '1595557659', 'spider_name': 'caijing_huxiu_zixun', 'start_time': '1595557654'}  消息处理总量:4条
2020-07-24 at 10:28:06 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_shichang', 'start_time': '1595557695', 'end_time': '1595557697'}  消息处理总量:6条
2020-07-24 at 10:28:07 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cs_raw', 'end_time': '1595557704', 'start_time': '1595557704', 'spider_name': 'caijing_cs_gsxw'}  消息处理总量:1条
2020-07-24 at 10:28:39 | SUCCESS | 消息内容:{'end_time': '1595557735', 'start_time': '1595557735', 'spider_name': 'caijing_thepaper_cjsxy', 'collection_name': 'sy_news_finance_thepaper_raw'}  消息处理总量:1条
2020-07-24 at 10:28:47 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_36kr_raw', 'spider_name': 'caijing_36kr_zixun', 'start_time': '1595557725', 'end_time': '1595557726'}  消息处理总量:2条
2020-07-24 at 10:28:56 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_china_raw', 'end_time': '1595557743', 'start_time': '1595557743', 'spider_name': 'caijing_china_kj'}  消息处理总量:1条
2020-07-24 at 10:29:11 | SUCCESS | 消息内容:{'start_time': '1595557767', 'end_time': '1595557767', 'spider_name': 'caijing_jrj_xsb', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:1条
2020-07-24 at 10:29:31 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_nbd_raw', 'spider_name': 'caijing_nbd_fangchan_all', 'start_time': '1595557788', 'end_time': '1595557788'}  消息处理总量:1条
2020-07-24 at 10:30:07 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_smm_raw', 'end_time': '1595557838', 'start_time': '1595557833', 'spider_name': 'hangye_smm_news'}  消息处理总量:5条
2020-07-24 at 10:30:36 | SUCCESS | 消息内容:{'end_time': '1595557841', 'start_time': '1595557837', 'spider_name': 'caijing_jrj_ss', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:5条
2020-07-24 at 10:30:37 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1595557833', 'start_time': '1595557817', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:3条
2020-07-24 at 10:30:43 | SUCCESS | 消息内容:{'start_time': '1595557844', 'end_time': '1595557844', 'spider_name': 'caijing_iyiou_kuaixun', 'collection_name': 'sy_news_finance_iyiou_raw'}  消息处理总量:1条
