2020-08-06 at 14:39:32 | SUCCESS | 消息内容:{'start_time': '1595898626', 'end_time': '1595898626', 'collection_name': 'sy_news_finance_36kr_raw', 'spider_name': 'caijing_36kr_zixun'}  消息处理总量:1条
2020-08-06 at 14:39:36 | SUCCESS | 消息内容:{'start_time': '1595898675', 'end_time': '1595898675', 'collection_name': 'sy_news_hangye_szaeia_raw', 'spider_name': 'hangye_szaeia_news'}  消息处理总量:1条
2020-08-06 at 14:40:10 | SUCCESS | 消息内容:{'start_time': '1595898657', 'end_time': '1595898660', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all'}  消息处理总量:2条
2020-08-06 at 14:40:14 | SUCCESS | 消息内容:{'start_time': '1595898694', 'end_time': '1595898694', 'collection_name': 'sy_news_hangye_ofweek_raw', 'spider_name': 'hangye_ofweek_jiguangqi'}  消息处理总量:1条
2020-08-06 at 14:40:18 | ERROR | Traceback (most recent call last):
  File "consumer.py", line 26, in callback
    return Processing(msg).process_data(channel, method)
  File "/database/dwd_news_yq/bin/process_data.py", line 842, in process_data
    time.sleep(1)
KeyboardInterrupt

2020-08-06 at 14:42:24 | SUCCESS | 消息内容:{'end_time': '1595898685', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1595898685'}  消息处理总量:1条
2020-08-06 at 14:42:30 | SUCCESS | 消息内容:{'end_time': '1595898688', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1595898688'}  消息处理总量:1条
2020-08-06 at 14:42:35 | SUCCESS | 消息内容:{'end_time': '1595898687', 'collection_name': 'sy_news_finance_investorchina_raw', 'spider_name': 'caijing_investorchina_scgz', 'start_time': '1595898687'}  消息处理总量:1条
2020-08-06 at 14:42:39 | SUCCESS | 消息内容:{'end_time': '1595898705', 'collection_name': 'sy_news_finance_caijing_raw', 'spider_name': 'caijing_caijing_industry', 'start_time': '1595898705'}  消息处理总量:1条
2020-08-06 at 14:42:52 | SUCCESS | 消息内容:{'end_time': '1595898736', 'collection_name': 'sy_news_finance_gmw_raw', 'spider_name': 'caijing_gmw_jjyw', 'start_time': '1595898733'}  消息处理总量:5条
2020-08-06 at 14:43:02 | SUCCESS | 消息内容:{'end_time': '1595898735', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'start_time': '1595898735'}  消息处理总量:1条
2020-08-06 at 14:43:06 | SUCCESS | 消息内容:{'end_time': '1595898755', 'collection_name': 'sy_news_finance_xueqiu_raw', 'spider_name': 'caijing_xueqiu_hs', 'start_time': '1595898755'}  消息处理总量:1条
2020-08-06 at 14:43:15 | SUCCESS | 消息内容:{'end_time': '1595898719', 'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'start_time': '1595898719'}  消息处理总量:1条
2020-08-06 at 14:43:21 | SUCCESS | 消息内容:{'end_time': '1595898758', 'collection_name': 'sy_news_finance_southmoney_raw', 'spider_name': 'caijing_southmoney_caijingyaowen', 'start_time': '1595898755'}  消息处理总量:3条
2020-08-06 at 14:43:37 | SUCCESS | 消息内容:{'end_time': '1595898772', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1595898768'}  消息处理总量:8条
2020-08-06 at 14:43:45 | SUCCESS | 消息内容:{'end_time': '1595898811', 'collection_name': 'sy_news_hangye_cenews_raw', 'spider_name': 'hangye_cenews_yaowen', 'start_time': '1595898810'}  消息处理总量:3条
2020-08-06 at 14:43:52 | ERROR | Traceback (most recent call last):
  File "consumer.py", line 26, in callback
    return Processing(msg).process_data(channel, method)
  File "/database/dwd_news_yq/bin/process_data.py", line 843, in process_data
    time.sleep(1)
KeyboardInterrupt

2020-08-06 at 15:12:35 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1595898794', 'spider_name': 'caijing_sina_ssgs', 'end_time': '1595898794'}  消息处理总量:1条
2020-08-06 at 15:12:37 | SUCCESS | 消息内容:{'start_time': '1595898832', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1595898832', 'spider_name': 'caijing_eastmoney_whdd'}  消息处理总量:2条
2020-08-06 at 15:12:42 | SUCCESS | 消息内容:{'start_time': '1595898983', 'spider_name': 'caijing_sac_hydt', 'end_time': '1595898984', 'collection_name': 'sy_news_finance_sac_raw'}  消息处理总量:3条
2020-08-06 at 15:12:42 | SUCCESS | 消息内容:{'end_time': '1595898805', 'spider_name': 'caijing_pedaily_gundong', 'start_time': '1595898794', 'collection_name': 'sy_news_finance_pedaily_raw'}  消息处理总量:4条
2020-08-06 at 15:12:43 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1595898893', 'spider_name': 'caijing_eastmoney_jigou_all', 'end_time': '1595898960'}  消息处理总量:2条
2020-08-06 at 15:12:54 | SUCCESS | 消息内容:{'end_time': '1595899018', 'spider_name': 'caijing_jrj_gncj', 'start_time': '1595899014', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:7条
2020-08-06 at 15:12:56 | SUCCESS | 消息内容:{'start_time': '1595898994', 'collection_name': 'sy_news_finance_china_raw', 'end_time': '1595898997', 'spider_name': 'caijing_china_kj'}  消息处理总量:5条
2020-08-06 at 15:13:01 | SUCCESS | 消息内容:{'start_time': '1595899028', 'spider_name': 'caijing_eastmoney_ganggu', 'end_time': '1595899028', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-08-06 at 15:13:02 | SUCCESS | 消息内容:{'end_time': '1595899025', 'spider_name': 'caijing_163_gupiao', 'start_time': '1595899025', 'collection_name': 'sy_news_finance_163_raw'}  消息处理总量:2条
2020-08-06 at 15:13:04 | SUCCESS | 消息内容:{'start_time': '1595899048', 'collection_name': 'sy_news_finance_xinhuanet_raw', 'end_time': '1595899048', 'spider_name': 'caijing_news_redian'}  消息处理总量:1条
2020-08-06 at 15:13:08 | SUCCESS | 消息内容:{'start_time': '1595899082', 'spider_name': 'hangye_smm_news', 'end_time': '1595899082', 'collection_name': 'sy_news_hangye_smm_raw'}  消息处理总量:1条
