2020-08-14 at 09:32:20 | SUCCESS | 消息内容:{'end_time': '1597368663', 'start_time': '1597368663', 'spider_name': 'caijing_hexun_hysk', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:1条
2020-08-14 at 09:32:24 | SUCCESS | 消息内容:{'end_time': '1597368718', 'start_time': '1597368718', 'collection_name': 'sy_news_finance_eccn_raw', 'spider_name': 'caijing_eccn_zxzx'}  消息处理总量:1条
2020-08-14 at 09:32:25 | SUCCESS | 消息内容:{'end_time': '1597368672', 'start_time': '1597368668', 'spider_name': 'caijing_leju_lejucaijing_all', 'collection_name': 'sy_news_finance_leju_raw'}  消息处理总量:2条
2020-08-14 at 09:32:25 | SUCCESS | 消息内容:{'start_time': '1597368696', 'end_time': '1597368696', 'spider_name': 'caijing_sina_ssgs', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-08-14 at 09:32:31 | SUCCESS | 消息内容:{'end_time': '1597368577', 'start_time': '1597368577', 'collection_name': 'sy_news_finance_cyzone_raw', 'spider_name': 'caijing_cyzone_all'}  消息处理总量:1条
2020-08-14 at 09:32:31 | SUCCESS | 消息内容:{'end_time': '1597368755', 'start_time': '1597368754', 'spider_name': 'caijing_askci_gcy', 'collection_name': 'sy_news_finance_askci_raw'}  消息处理总量:3条
2020-08-14 at 09:33:01 | SUCCESS | 消息内容:{'end_time': '1597368712', 'start_time': '1597368711', 'spider_name': 'caijing_winshang_yaowen_all', 'collection_name': 'sy_news_finance_winshang_raw'}  消息处理总量:2条
2020-08-14 at 09:33:07 | SUCCESS | 消息内容:{'start_time': '1597368794', 'end_time': '1597368794', 'spider_name': 'caijing_huxiu_zixun', 'collection_name': 'sy_news_finance_huxiu_raw'}  消息处理总量:1条
2020-08-14 at 09:33:15 | SUCCESS | 消息内容:{'end_time': '1597368835', 'start_time': '1597368835', 'collection_name': 'sy_news_hangye_bmlink_raw', 'spider_name': 'hangye_bmlink_marketnews'}  消息处理总量:1条
2020-08-14 at 09:33:27 | SUCCESS | 消息内容:{'end_time': '1597368825', 'start_time': '1597368824', 'spider_name': 'caijing_sina_guonei', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-08-14 at 09:33:51 | SUCCESS | 消息内容:{'end_time': '1597368828', 'start_time': '1597368828', 'collection_name': 'sy_news_finance_zhiding_raw', 'spider_name': 'caijing_zhiding_news'}  消息处理总量:1条
2020-08-14 at 09:34:02 | SUCCESS | 消息内容:{'end_time': '1597368852', 'start_time': '1597368852', 'collection_name': 'sy_news_finance_china_raw', 'spider_name': 'caijing_china_kj'}  消息处理总量:1条
2020-08-14 at 09:34:05 | SUCCESS | 消息内容:{'end_time': '1597368881', 'start_time': '1597368881', 'collection_name': 'sy_news_hangye_csia_iccad_raw', 'spider_name': 'hangye_csia_iccad_news'}  消息处理总量:1条
2020-08-14 at 09:34:06 | SUCCESS | 消息内容:{'end_time': '1597368835', 'start_time': '1597368835', 'spider_name': 'caijing_36kr_zixun', 'collection_name': 'sy_news_finance_36kr_raw'}  消息处理总量:1条
2020-08-14 at 09:34:08 | SUCCESS | 消息内容:{'start_time': '1597368755', 'end_time': '1597368767', 'spider_name': 'caijing_eastmoney_jigou_all', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:4条
2020-08-14 at 09:34:24 | SUCCESS | 消息内容:{'end_time': '1597368886', 'start_time': '1597368886', 'spider_name': 'caijing_163_gupiao', 'collection_name': 'sy_news_finance_163_raw'}  消息处理总量:1条
2020-08-14 at 09:34:24 | SUCCESS | 消息内容:{'start_time': '1597368887', 'end_time': '1597368887', 'spider_name': 'caijing_thepaper_cjgs', 'collection_name': 'sy_news_finance_thepaper_raw'}  消息处理总量:1条
2020-08-14 at 09:34:29 | SUCCESS | 消息内容:{'end_time': '1597368878', 'start_time': '1597368858', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all'}  消息处理总量:5条
2020-08-14 at 09:35:03 | SUCCESS | 消息内容:{'end_time': '1597368944', 'start_time': '1597368944', 'collection_name': 'sy_news_hangye_smm_raw', 'spider_name': 'hangye_smm_news'}  消息处理总量:1条
