2020-08-18 at 09:17:01 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_chanjing', 'start_time': '1597376083', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1597376083'}  消息处理总量:1条
2020-08-18 at 09:17:04 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_huxiu_raw', 'end_time': '1597376076', 'start_time': '1597376075', 'spider_name': 'caijing_huxiu_zixun'}  消息处理总量:2条
2020-08-18 at 09:17:07 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_iyiou_raw', 'end_time': '1597376084', 'start_time': '1597376084', 'spider_name': 'caijing_iyiou_kuaixun'}  消息处理总量:1条
2020-08-18 at 09:17:08 | SUCCESS | 消息内容:{'start_time': '1597376062', 'spider_name': 'caijing_eastday_caijing', 'collection_name': 'sy_news_finance_eastday_raw', 'end_time': '1597376062'}  消息处理总量:1条
2020-08-18 at 09:17:09 | SUCCESS | 消息内容:{'end_time': '1597376055', 'spider_name': 'caijing_eastmoney_gsxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1597376053'}  消息处理总量:3条
2020-08-18 at 09:17:12 | SUCCESS | 消息内容:{'spider_name': 'caijing_dcement_zixun', 'start_time': '1597376149', 'collection_name': 'sy_news_finance_dcement_raw', 'end_time': '1597376149'}  消息处理总量:1条
2020-08-18 at 09:17:13 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_china_raw', 'end_time': '1597376133', 'start_time': '1597376133', 'spider_name': 'caijing_china_hg'}  消息处理总量:1条
2020-08-18 at 09:17:17 | SUCCESS | 消息内容:{'start_time': '1597376146', 'spider_name': 'caijing_cyzone_all', 'collection_name': 'sy_news_finance_cyzone_raw', 'end_time': '1597376146'}  消息处理总量:1条
2020-08-18 at 09:17:18 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_autohome_raw', 'end_time': '1597376216', 'start_time': '1597376216', 'spider_name': 'hangye_autohome_news'}  消息处理总量:1条
2020-08-18 at 09:17:24 | SUCCESS | 消息内容:{'start_time': '1597376184', 'spider_name': 'caijing_qianlong_jingji', 'collection_name': 'sy_news_finance_qianlong_raw', 'end_time': '1597376187'}  消息处理总量:3条
2020-08-18 at 09:17:25 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1597376238', 'start_time': '1597376236', 'spider_name': 'caijing_eastmoney_hk_all'}  消息处理总量:2条
2020-08-18 at 09:17:26 | SUCCESS | 消息内容:{'end_time': '1597376106', 'spider_name': 'caijing_eastmoney_jigou_all', 'start_time': '1597376076', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:5条
2020-08-18 at 09:17:30 | SUCCESS | 消息内容:{'end_time': '1597376274', 'spider_name': 'hangye_bmlink_marketnews', 'start_time': '1597376274', 'collection_name': 'sy_news_hangye_bmlink_raw'}  消息处理总量:1条
2020-08-18 at 09:17:30 | SUCCESS | 消息内容:{'start_time': '1597376264', 'spider_name': 'hangye_smm_news', 'collection_name': 'sy_news_hangye_smm_raw', 'end_time': '1597376264'}  消息处理总量:1条
2020-08-18 at 09:17:35 | SUCCESS | 消息内容:{'end_time': '1597376258', 'spider_name': 'caijing_cs_gsxw', 'collection_name': 'sy_news_finance_cs_raw', 'start_time': '1597376257'}  消息处理总量:3条
2020-08-18 at 09:17:36 | SUCCESS | 消息内容:{'start_time': '1597376263', 'spider_name': 'caijing_sina_guonei', 'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1597376265'}  消息处理总量:3条
2020-08-18 at 09:17:38 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_qq_raw', 'end_time': '1597376243', 'start_time': '1597376243', 'spider_name': 'caijing_qq_hongguan'}  消息处理总量:1条
