2020-08-19 at 09:28:08 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_hk_all', 'end_time': '1597604899', 'start_time': '1597604899', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-08-19 at 09:28:11 | SUCCESS | 消息内容:{'end_time': '1597604733', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'start_time': '1597604733'}  消息处理总量:1条
2020-08-19 at 09:28:13 | SUCCESS | 消息内容:{'spider_name': 'caijing_10jqka_cjyw', 'end_time': '1597604893', 'collection_name': 'sy_news_finance_10jqka_raw', 'start_time': '1597604893'}  消息处理总量:1条
2020-08-19 at 09:28:14 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1597604890', 'start_time': '1597604889'}  消息处理总量:3条
2020-08-19 at 09:28:23 | SUCCESS | 消息内容:{'end_time': '1597605066', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1597605066'}  消息处理总量:1条
2020-08-19 at 09:28:27 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1597605510', 'start_time': '1597605509'}  消息处理总量:3条
2020-08-19 at 09:28:27 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_chanjing', 'end_time': '1597605174', 'start_time': '1597605174', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-08-19 at 09:28:29 | SUCCESS | 消息内容:{'end_time': '1597605662', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'start_time': '1597605662'}  消息处理总量:1条
2020-08-19 at 09:28:35 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_kcb', 'end_time': '1597605816', 'start_time': '1597605816'}  消息处理总量:1条
2020-08-19 at 09:29:08 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1597606447', 'start_time': '1597606439'}  消息处理总量:10条
2020-08-19 at 09:29:18 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'end_time': '1597606562', 'start_time': '1597606562'}  消息处理总量:1条
2020-08-19 at 09:29:19 | SUCCESS | 消息内容:{'end_time': '1597606189', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1597606179'}  消息处理总量:16条
2020-08-19 at 09:29:28 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_cgnjj', 'end_time': '1597605879', 'start_time': '1597605869', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:17条
2020-08-19 at 09:29:31 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1597606874', 'start_time': '1597606851'}  消息处理总量:3条
2020-08-19 at 09:29:33 | SUCCESS | 消息内容:{'end_time': '1597607060', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1597607057'}  消息处理总量:5条
2020-08-19 at 09:29:36 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_cjyw', 'end_time': '1597607335', 'start_time': '1597607335'}  消息处理总量:1条
2020-08-19 at 09:29:37 | SUCCESS | 消息内容:{'end_time': '1597607386', 'collection_name': 'sy_news_finance_21ic_raw', 'spider_name': 'caijing_21ic_tuijian', 'start_time': '1597607386'}  消息处理总量:1条
2020-08-19 at 09:29:44 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1597607304', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1597607359'}  消息处理总量:6条
2020-08-19 at 09:30:10 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_cgnjj', 'end_time': '1597607734', 'start_time': '1597607730', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:8条
2020-08-19 at 09:30:24 | SUCCESS | 消息内容:{'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1597607795', 'collection_name': 'sy_news_finance_mysteel_raw', 'start_time': '1597607773'}  消息处理总量:3条
2020-08-19 at 09:30:29 | SUCCESS | 消息内容:{'spider_name': 'caijing_qq_chanye', 'start_time': '1597607833', 'collection_name': 'sy_news_finance_qq_raw', 'end_time': '1597607833'}  消息处理总量:1条
2020-08-19 at 09:30:30 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1597607417', 'end_time': '1597607433'}  消息处理总量:19条
2020-08-19 at 09:30:50 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1597608038', 'end_time': '1597608045'}  消息处理总量:7条
2020-08-19 at 09:30:54 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_chanjing', 'start_time': '1597608055', 'end_time': '1597608055'}  消息处理总量:1条
2020-08-19 at 09:30:58 | SUCCESS | 消息内容:{'end_time': '1597607703', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1597607678'}  消息处理总量:40条
2020-08-19 at 09:31:00 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'end_time': '1597608144', 'start_time': '1597608144'}  消息处理总量:1条
2020-08-19 at 09:31:15 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1597608375', 'end_time': '1597608376'}  消息处理总量:3条
2020-08-19 at 09:31:18 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1597608003', 'start_time': '1597607987', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:25条
2020-08-19 at 09:31:21 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all', 'end_time': '1597608596', 'start_time': '1597608596'}  消息处理总量:1条
2020-08-19 at 09:31:24 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1597608618', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1597608618'}  消息处理总量:1条
2020-08-19 at 09:31:33 | SUCCESS | 消息内容:{'end_time': '1597608310', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1597608298'}  消息处理总量:16条
