2020-08-20 at 10:34:38 | SUCCESS | 消息内容:{'spider_name': 'caijing_eccn_zxzx', 'start_time': '1597890878', 'end_time': '1597890878', 'collection_name': 'sy_news_finance_eccn_raw'}  消息处理总量:1条
2020-08-20 at 10:34:45 | SUCCESS | 消息内容:{'spider_name': 'caijing_iyiou_kuaixun', 'collection_name': 'sy_news_finance_iyiou_raw', 'start_time': '1597890872', 'end_time': '1597890876'}  消息处理总量:5条
2020-08-20 at 10:34:49 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_hk_all', 'end_time': '1597890906', 'start_time': '1597890906', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-08-20 at 10:34:51 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_ssgs', 'start_time': '1597890913', 'end_time': '1597890913', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-08-20 at 10:35:38 | SUCCESS | 消息内容:{'spider_name': 'caijing_qq_hongguan', 'end_time': '1597890956', 'start_time': '1597890955', 'collection_name': 'sy_news_finance_qq_raw'}  消息处理总量:4条
2020-08-20 at 10:35:49 | SUCCESS | 消息内容:{'start_time': '1597890908', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_xsb', 'end_time': '1597890970'}  消息处理总量:0条
2020-08-20 at 10:36:43 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_cjjsp', 'end_time': '1597891022', 'start_time': '1597891019', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:2条
2020-08-20 at 10:36:44 | SUCCESS | 消息内容:{'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1597890950', 'end_time': '1597891014', 'collection_name': 'sy_news_finance_mysteel_raw'}  消息处理总量:4条
2020-08-20 at 10:37:02 | SUCCESS | 消息内容:{'spider_name': 'caijing_qianlong_jingji', 'collection_name': 'sy_news_finance_qianlong_raw', 'start_time': '1597891023', 'end_time': '1597891028'}  消息处理总量:2条
2020-08-20 at 10:37:04 | SUCCESS | 消息内容:{'spider_name': 'caijing_cs_jijin', 'start_time': '1597891043', 'end_time': '1597891044', 'collection_name': 'sy_news_finance_cs_raw'}  消息处理总量:2条
2020-08-20 at 10:38:15 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1597891097', 'start_time': '1597891097', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:2条
2020-08-20 at 10:38:57 | SUCCESS | 消息内容:{'start_time': '1597891085', 'collection_name': 'sy_news_finance_cnfol_raw', 'spider_name': 'caijing_cnfol_gegu', 'end_time': '1597891088'}  消息处理总量:8条
2020-08-20 at 10:39:15 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_guonei', 'end_time': '1597891174', 'start_time': '1597891173', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-08-20 at 10:39:16 | SUCCESS | 消息内容:{'spider_name': 'caijing_yuncaijing_neican', 'start_time': '1597891136', 'end_time': '1597891145', 'collection_name': 'sy_news_finance_yuncaijing_raw'}  消息处理总量:12条
2020-08-20 at 10:39:58 | SUCCESS | 消息内容:{'start_time': '1597891153', 'collection_name': 'sy_news_finance_zhicheng_raw', 'spider_name': 'caijing_zhicheng_caijing', 'end_time': '1597891163'}  消息处理总量:7条
2020-08-20 at 10:41:10 | SUCCESS | 消息内容:{'spider_name': 'caijing_yuncaijing_neican', 'start_time': '1597891270', 'end_time': '1597891270', 'collection_name': 'sy_news_finance_yuncaijing_raw'}  消息处理总量:1条
2020-08-20 at 10:41:35 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastday_caijing', 'end_time': '1597891284', 'start_time': '1597891275', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:12条
2020-08-20 at 10:41:48 | SUCCESS | 消息内容:{'start_time': '1597891304', 'collection_name': 'sy_news_finance_iyiou_raw', 'spider_name': 'caijing_iyiou_kuaixun', 'end_time': '1597891304'}  消息处理总量:1条
2020-08-20 at 10:42:07 | SUCCESS | 消息内容:{'spider_name': 'caijing_cyzone_zuixin', 'start_time': '1597891327', 'end_time': '1597891328', 'collection_name': 'sy_news_finance_cyzone_raw'}  消息处理总量:2条
2020-08-20 at 10:42:22 | SUCCESS | 消息内容:{'start_time': '1597891347', 'collection_name': 'sy_news_finance_abi_raw', 'spider_name': 'caijing_abi_zixun', 'end_time': '1597891363'}  消息处理总量:2条
2020-08-20 at 10:42:34 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1597891328', 'end_time': '1597891339'}  消息处理总量:19条
2020-08-20 at 10:42:39 | SUCCESS | 消息内容:{'spider_name': 'caijing_stockstar_zqyw', 'start_time': '1597891346', 'end_time': '1597891353', 'collection_name': 'sy_news_finance_stockstar_raw'}  消息处理总量:5条
2020-08-20 at 10:42:42 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_cgnjj', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1597891380', 'end_time': '1597891381'}  消息处理总量:3条
2020-08-20 at 10:43:03 | SUCCESS | 消息内容:{'spider_name': 'caijing_china_house', 'start_time': '1597891398', 'end_time': '1597891399', 'collection_name': 'sy_news_finance_china_raw'}  消息处理总量:2条
2020-08-20 at 10:45:52 | SUCCESS | 消息内容:{'spider_name': 'caijing_chinatimes_all', 'collection_name': 'sy_news_finance_chinatimes_raw', 'start_time': '1597891485', 'end_time': '1597891485'}  消息处理总量:1条
2020-08-20 at 10:45:55 | SUCCESS | 消息内容:{'spider_name': 'caijing_cs_cjyw', 'end_time': '1597891558', 'start_time': '1597891556', 'collection_name': 'sy_news_finance_cs_raw'}  消息处理总量:3条
2020-08-20 at 10:46:46 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_chanjing', 'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1597891614', 'end_time': '1597891616'}  消息处理总量:4条
2020-08-20 at 10:46:51 | SUCCESS | 消息内容:{'spider_name': 'caijing_iyiou_kuaixun', 'collection_name': 'sy_news_finance_iyiou_raw', 'start_time': '1597891613', 'end_time': '1597891619'}  消息处理总量:3条
2020-08-20 at 10:46:51 | SUCCESS | 消息内容:{'spider_name': 'caijing_bjx_yaowen', 'start_time': '1597891592', 'end_time': '1597891600', 'collection_name': 'sy_news_finance_bjx_raw'}  消息处理总量:12条
2020-08-20 at 10:47:09 | SUCCESS | 消息内容:{'spider_name': 'caijing_10jqka_cjyw', 'start_time': '1597891594', 'end_time': '1597891596', 'collection_name': 'sy_news_finance_10jqka_raw'}  消息处理总量:3条
2020-08-20 at 10:47:20 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_hk_all', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1597891646', 'end_time': '1597891651'}  消息处理总量:5条
2020-08-20 at 10:47:34 | SUCCESS | 消息内容:{'spider_name': 'caijing_qianlong_jingji', 'collection_name': 'sy_news_finance_qianlong_raw', 'start_time': '1597891646', 'end_time': '1597891650'}  消息处理总量:3条
2020-08-20 at 10:48:07 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_stock_all', 'start_time': '1597891682', 'end_time': '1597891690', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:5条
2020-08-20 at 10:49:16 | SUCCESS | 消息内容:{'start_time': '1597891764', 'collection_name': 'sy_news_finance_nbd_raw', 'spider_name': 'caijing_nbd_quanshang_all', 'end_time': '1597891766'}  消息处理总量:2条
2020-08-20 at 10:50:14 | SUCCESS | 消息内容:{'spider_name': 'caijing_qq_zhaiquan', 'end_time': '1597891824', 'start_time': '1597891824', 'collection_name': 'sy_news_finance_qq_raw'}  消息处理总量:1条
2020-08-20 at 10:50:42 | SUCCESS | 消息内容:{'spider_name': 'caijing_yicai_Agu', 'start_time': '1597891863', 'end_time': '1597891863', 'collection_name': 'sy_news_finance_yicai_raw'}  消息处理总量:2条
2020-08-20 at 10:50:52 | SUCCESS | 消息内容:{'start_time': '1597891867', 'collection_name': 'sy_news_finance_people_raw', 'spider_name': 'caijing_people_hyycy', 'end_time': '1597891870'}  消息处理总量:4条
2020-08-20 at 10:51:45 | SUCCESS | 消息内容:{'start_time': '1597891845', 'collection_name': 'sy_news_finance_zhiding_raw', 'spider_name': 'caijing_zhiding_news', 'end_time': '1597891845'}  消息处理总量:1条
2020-08-20 at 10:51:50 | SUCCESS | 消息内容:{'spider_name': 'caijing_sina_chanjing', 'start_time': '1597891924', 'end_time': '1597891925', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:3条
2020-08-20 at 10:52:26 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_gncj', 'collection_name': 'sy_news_finance_jrj_raw', 'start_time': '1597891887', 'end_time': '1597891918'}  消息处理总量:23条
2020-08-20 at 10:53:03 | SUCCESS | 消息内容:{'spider_name': 'caijing_southmoney_caijingyaowen', 'end_time': '1597891993', 'start_time': '1597891993', 'collection_name': 'sy_news_finance_southmoney_raw'}  消息处理总量:1条
2020-08-20 at 10:53:15 | SUCCESS | 消息内容:{'spider_name': 'hangye_autohome_news', 'start_time': '1597892034', 'end_time': '1597892034', 'collection_name': 'sy_news_hangye_autohome_raw'}  消息处理总量:1条
2020-08-20 at 10:53:23 | SUCCESS | 消息内容:{'spider_name': 'caijing_cnstock_cyjj', 'collection_name': 'sy_news_finance_cnstock_raw', 'start_time': '1597892013', 'end_time': '1597892013'}  消息处理总量:2条
2020-08-20 at 10:54:04 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_xinsanban_all', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1597891950', 'end_time': '1597892041'}  消息处理总量:10条
2020-08-20 at 10:54:13 | SUCCESS | 消息内容:{'spider_name': 'caijing_southcn_cjtt', 'start_time': '1597892065', 'end_time': '1597892066', 'collection_name': 'sy_news_finance_southcn_raw'}  消息处理总量:4条
2020-08-20 at 10:55:23 | SUCCESS | 消息内容:{'spider_name': 'caijing_smm_yaowen', 'collection_name': 'sy_news_finance_smm_raw', 'start_time': '1597892094', 'end_time': '1597892098'}  消息处理总量:3条
2020-08-20 at 10:56:24 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_whdd', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1597892193', 'end_time': '1597892193'}  消息处理总量:1条
2020-08-20 at 10:57:27 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_jigou_all', 'start_time': '1597892133', 'end_time': '1597892177', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:13条
2020-08-20 at 10:57:29 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastday_caijing', 'collection_name': 'sy_news_finance_eastday_raw', 'start_time': '1597892222', 'end_time': '1597892246'}  消息处理总量:8条
