2020-08-21 at 10:30:35 | SUCCESS | 消息内容:{'end_time': '1597975074', 'start_time': '1597975074', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_whdd'}  消息处理总量:1条
2020-08-21 at 10:30:45 | SUCCESS | 消息内容:{'end_time': '1597975259', 'start_time': '1597975209', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_jijin'}  消息处理总量:3条
2020-08-21 at 10:30:58 | SUCCESS | 消息内容:{'end_time': '1597975068', 'spider_name': 'hangye_cenews_yaowen', 'start_time': '1597975062', 'collection_name': 'sy_news_hangye_cenews_raw'}  消息处理总量:10条
2020-08-21 at 10:31:03 | SUCCESS | 消息内容:{'end_time': '1597975277', 'start_time': '1597975277', 'spider_name': 'caijing_chinapower_guonei', 'collection_name': 'sy_news_finance_chinapower_raw'}  消息处理总量:1条
2020-08-21 at 10:31:05 | SUCCESS | 消息内容:{'end_time': '1597975246', 'start_time': '1597975232', 'collection_name': 'sy_news_finance_pedaily_raw', 'spider_name': 'caijing_pedaily_gundong'}  消息处理总量:5条
2020-08-21 at 10:31:09 | SUCCESS | 消息内容:{'start_time': '1597975297', 'collection_name': 'sy_news_hangye_cnmn_raw', 'end_time': '1597975298', 'spider_name': 'hangye_cnmn_news'}  消息处理总量:3条
2020-08-21 at 10:31:17 | SUCCESS | 消息内容:{'end_time': '1597975297', 'spider_name': 'caijing_eastmoney_hk_all', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1597975267'}  消息处理总量:3条
2020-08-21 at 10:31:20 | SUCCESS | 消息内容:{'end_time': '1597975316', 'collection_name': 'sy_news_finance_iyiou_raw', 'start_time': '1597975316', 'spider_name': 'caijing_iyiou_kuaixun'}  消息处理总量:1条
2020-08-21 at 10:31:24 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastday_raw', 'start_time': '1597975160', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1597975183'}  消息处理总量:22条
2020-08-21 at 10:31:26 | SUCCESS | 消息内容:{'start_time': '1597975423', 'spider_name': 'caijing_qq_Agu', 'end_time': '1597975447', 'collection_name': 'sy_news_finance_qq_raw'}  消息处理总量:2条
2020-08-21 at 10:31:30 | SUCCESS | 消息内容:{'end_time': '1597975616', 'spider_name': 'caijing_jrj_ss', 'start_time': '1597975615', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:0条
2020-08-21 at 10:31:40 | SUCCESS | 消息内容:{'end_time': '1597975637', 'start_time': '1597975632', 'spider_name': 'caijing_jrj_zspl', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:4条
2020-08-21 at 10:31:47 | SUCCESS | 消息内容:{'end_time': '1597975726', 'start_time': '1597975720', 'spider_name': 'caijing_cngrain_all', 'collection_name': 'sy_news_finance_cngrain_raw'}  消息处理总量:3条
2020-08-21 at 10:31:48 | SUCCESS | 消息内容:{'end_time': '1597975443', 'spider_name': 'caijing_mysteel_zonghe_all', 'collection_name': 'sy_news_finance_mysteel_raw', 'start_time': '1597975392'}  消息处理总量:14条
2020-08-21 at 10:31:52 | SUCCESS | 消息内容:{'end_time': '1597975773', 'spider_name': 'caijing_bjx_yaowen', 'collection_name': 'sy_news_finance_bjx_raw', 'start_time': '1597975773'}  消息处理总量:1条
2020-08-21 at 10:31:55 | SUCCESS | 消息内容:{'start_time': '1597975745', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1597975746', 'spider_name': 'caijing_hexun_hongguan'}  消息处理总量:3条
2020-08-21 at 10:31:57 | SUCCESS | 消息内容:{'end_time': '1597975802', 'spider_name': 'caijing_china_kj', 'collection_name': 'sy_news_finance_china_raw', 'start_time': '1597975802'}  消息处理总量:1条
2020-08-21 at 10:32:07 | SUCCESS | 消息内容:{'end_time': '1597975820', 'collection_name': 'sy_news_finance_sina_raw', 'start_time': '1597975818', 'spider_name': 'caijing_sina_guonei'}  消息处理总量:6条
2020-08-21 at 10:32:13 | SUCCESS | 消息内容:{'end_time': '1597975805', 'spider_name': 'caijing_smm_yaowen', 'collection_name': 'sy_news_finance_smm_raw', 'start_time': '1597975801'}  消息处理总量:8条
2020-08-21 at 10:32:16 | SUCCESS | 消息内容:{'end_time': '1597975856', 'collection_name': 'sy_news_finance_csi_raw', 'start_time': '1597975852', 'spider_name': 'caijing_csi_yeneizixun_all'}  消息处理总量:2条
2020-08-21 at 10:32:32 | SUCCESS | 消息内容:{'end_time': '1597975910', 'spider_name': 'hangye_smm_news', 'collection_name': 'sy_news_hangye_smm_raw', 'start_time': '1597975906'}  消息处理总量:7条
2020-08-21 at 10:32:35 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_abi_raw', 'start_time': '1597975525', 'spider_name': 'caijing_abi_zixun', 'end_time': '1597975529'}  消息处理总量:4条
2020-08-21 at 10:32:38 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_askci_raw', 'start_time': '1597975886', 'spider_name': 'caijing_askci_gcy', 'end_time': '1597975886'}  消息处理总量:1条
2020-08-21 at 10:32:42 | SUCCESS | 消息内容:{'end_time': '1597975885', 'spider_name': 'caijing_cs_cjyw', 'start_time': '1597975876', 'collection_name': 'sy_news_finance_cs_raw'}  消息处理总量:9条
2020-08-21 at 10:32:48 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_chinaventure_raw', 'start_time': '1597975856', 'spider_name': 'caijing_chinaventure_tuijian', 'end_time': '1597975856'}  消息处理总量:1条
2020-08-21 at 10:32:52 | SUCCESS | 消息内容:{'end_time': '1597975907', 'start_time': '1597975905', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ganggu'}  消息处理总量:8条
2020-08-21 at 10:32:56 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1597976007', 'spider_name': 'caijing_eastmoney_hk_all', 'end_time': '1597976007'}  消息处理总量:1条
