2020-08-24 at 09:17:19 | SUCCESS | 消息内容:{'end_time': '1598230910', 'collection_name': 'sy_news_hangye_instrumentsinfo_raw', 'start_time': '1598230910', 'spider_name': 'hangye_instrumentsinfo_news'}  消息处理总量:1条
2020-08-24 at 09:17:37 | SUCCESS | 消息内容:{'end_time': '1598230821', 'spider_name': 'caijing_jiemian_zq', 'start_time': '1598230817', 'collection_name': 'sy_news_finance_jiemian_raw'}  消息处理总量:7条
2020-08-24 at 09:49:46 | SUCCESS | 消息内容:{'spider_name': 'caijing_bjx_yaowen', 'end_time': '1598233802', 'collection_name': 'sy_news_finance_bjx_raw', 'start_time': '1598233802'}  消息处理总量:1条
2020-08-24 at 09:49:50 | SUCCESS | 消息内容:{'end_time': '1598233797', 'spider_name': 'caijing_ocn_shichang', 'start_time': '1598233797', 'collection_name': 'sy_news_finance_ocn_raw'}  消息处理总量:1条
2020-08-24 at 09:50:21 | SUCCESS | 消息内容:{'end_time': '1598233829', 'spider_name': 'caijing_cnstock_ssgs_all', 'start_time': '1598233823', 'collection_name': 'sy_news_finance_cnstock_raw'}  消息处理总量:7条
2020-08-24 at 09:50:24 | SUCCESS | 消息内容:{'start_time': '1598233794', 'collection_name': 'sy_news_finance_china_raw', 'spider_name': 'caijing_china_hg', 'end_time': '1598233805'}  消息处理总量:18条
2020-08-24 at 09:50:32 | SUCCESS | 消息内容:{'end_time': '1598233836', 'spider_name': 'caijing_china_kj', 'start_time': '1598233835', 'collection_name': 'sy_news_finance_china_raw'}  消息处理总量:3条
2020-08-24 at 09:51:05 | SUCCESS | 消息内容:{'end_time': '1598233852', 'spider_name': 'caijing_gmw_jjyw', 'start_time': '1598233845', 'collection_name': 'sy_news_finance_gmw_raw'}  消息处理总量:8条
2020-08-24 at 09:51:13 | SUCCESS | 消息内容:{'spider_name': 'caijing_cs_cjyw', 'end_time': '1598233814', 'collection_name': 'sy_news_finance_cs_raw', 'start_time': '1598233794'}  消息处理总量:30条
2020-08-24 at 09:52:03 | SUCCESS | 消息内容:{'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1598233859', 'start_time': '1598233814', 'collection_name': 'sy_news_finance_yuncaijing_raw'}  消息处理总量:40条
2020-08-24 at 09:52:17 | SUCCESS | 消息内容:{'start_time': '1598233804', 'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_cjyw', 'end_time': '1598233841'}  消息处理总量:30条
2020-08-24 at 09:52:46 | SUCCESS | 消息内容:{'spider_name': 'hangye_bjx_yaowen', 'end_time': '1598233882', 'start_time': '1598233866', 'collection_name': 'sy_news_hangye_bjx_raw'}  消息处理总量:19条
2020-08-24 at 09:52:52 | SUCCESS | 消息内容:{'start_time': '1598233850', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_jijin', 'end_time': '1598233860'}  消息处理总量:9条
2020-08-24 at 09:53:03 | SUCCESS | 消息内容:{'end_time': '1598233853', 'spider_name': 'caijing_eastday_caijing', 'start_time': '1598233825', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:30条
2020-08-24 at 09:53:14 | SUCCESS | 消息内容:{'end_time': '1598233861', 'spider_name': 'caijing_nbd_auto_all', 'start_time': '1598233861', 'collection_name': 'sy_news_finance_nbd_raw'}  消息处理总量:2条
2020-08-24 at 09:53:18 | SUCCESS | 消息内容:{'spider_name': 'caijing_qianlong_jingji', 'end_time': '1598233860', 'start_time': '1598233847', 'collection_name': 'sy_news_finance_qianlong_raw'}  消息处理总量:12条
2020-08-24 at 09:54:47 | SUCCESS | 消息内容:{'end_time': '1598233877', 'spider_name': 'caijing_sina_chanjing', 'start_time': '1598233856', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:30条
2020-08-24 at 09:55:10 | SUCCESS | 消息内容:{'end_time': '1598233859', 'spider_name': 'caijing_leju_lejucaijing_all', 'start_time': '1598233795', 'collection_name': 'sy_news_finance_leju_raw'}  消息处理总量:6条
2020-08-24 at 09:55:18 | SUCCESS | 消息内容:{'end_time': '1598233882', 'spider_name': 'caijing_mysteel_zonghe_all', 'collection_name': 'sy_news_finance_mysteel_raw', 'start_time': '1598233834'}  消息处理总量:41条
2020-08-24 at 09:55:44 | SUCCESS | 消息内容:{'end_time': '1598233873', 'spider_name': 'caijing_iyiou_kuaixun', 'collection_name': 'sy_news_finance_iyiou_raw', 'start_time': '1598233854'}  消息处理总量:10条
2020-08-24 at 09:56:09 | SUCCESS | 消息内容:{'spider_name': 'hangye_cenews_yaowen', 'end_time': '1598233920', 'start_time': '1598233914', 'collection_name': 'sy_news_hangye_cenews_raw'}  消息处理总量:10条
2020-08-24 at 09:56:11 | SUCCESS | 消息内容:{'end_time': '1598233909', 'spider_name': 'hangye_mining120_guoji', 'start_time': '1598233893', 'collection_name': 'sy_news_hangye_mining120_raw'}  消息处理总量:27条
2020-08-24 at 09:57:01 | SUCCESS | 消息内容:{'start_time': '1598233793', 'end_time': '1598233864', 'spider_name': 'caijing_hexun_gsyw', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:89条
2020-08-24 at 09:57:21 | SUCCESS | 消息内容:{'end_time': '1598233941', 'spider_name': 'hangye_semiinsights_news', 'start_time': '1598233933', 'collection_name': 'sy_news_hangye_semiinsights_raw'}  消息处理总量:10条
2020-08-24 at 09:57:21 | SUCCESS | 消息内容:{'end_time': '1598233909', 'collection_name': 'sy_news_finance_nbd_raw', 'start_time': '1598233865', 'spider_name': 'caijing_nbd_quanshang_all'}  消息处理总量:12条
2020-08-24 at 09:57:44 | SUCCESS | 消息内容:{'end_time': '1598233919', 'spider_name': 'caijing_qq_chanye', 'start_time': '1598233915', 'collection_name': 'sy_news_finance_qq_raw'}  消息处理总量:7条
2020-08-24 at 09:57:48 | SUCCESS | 消息内容:{'end_time': '1598233932', 'spider_name': 'caijing_jiemian_hg', 'start_time': '1598233932', 'collection_name': 'sy_news_finance_jiemian_raw'}  消息处理总量:1条
2020-08-24 at 09:57:51 | SUCCESS | 消息内容:{'end_time': '1598233944', 'spider_name': 'caijing_mei_all', 'start_time': '1598233944', 'collection_name': 'sy_news_finance_mei_raw'}  消息处理总量:1条
2020-08-24 at 09:58:19 | SUCCESS | 消息内容:{'start_time': '1598233924', 'collection_name': 'sy_news_hangye_smm_raw', 'spider_name': 'hangye_smm_news', 'end_time': '1598233941'}  消息处理总量:27条
2020-08-24 at 09:59:21 | SUCCESS | 消息内容:{'start_time': '1598233956', 'end_time': '1598233963', 'spider_name': 'caijing_yicai_dz', 'collection_name': 'sy_news_finance_yicai_raw'}  消息处理总量:11条
2020-08-24 at 10:01:02 | SUCCESS | 消息内容:{'start_time': '1598233861', 'collection_name': 'sy_news_finance_winshang_raw', 'spider_name': 'caijing_winshang_yaowen_all', 'end_time': '1598233933'}  消息处理总量:22条
