2020-08-28 at 14:50:49 | SUCCESS | 消息内容:{'end_time': '1598597372', 'spider_name': 'caijing_10jqka_cjyw', 'collection_name': 'sy_news_finance_10jqka_raw', 'start_time': '1598597372'}  消息处理总量:0条
2020-08-28 at 14:50:52 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_leju_raw', 'end_time': '1598597431', 'start_time': '1598597431', 'spider_name': 'caijing_leju_lejucaijing_all'}  消息处理总量:1条
2020-08-28 at 14:51:00 | SUCCESS | 消息内容:{'end_time': '1598597433', 'spider_name': 'caijing_cnfol_cyjj', 'collection_name': 'sy_news_finance_cnfol_raw', 'start_time': '1598597433'}  消息处理总量:1条
2020-08-28 at 14:51:09 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnfol_raw', 'end_time': '1598597467', 'start_time': '1598597465', 'spider_name': 'caijing_cnfol_gegu'}  消息处理总量:7条
2020-08-28 at 14:51:14 | SUCCESS | 消息内容:{'start_time': '1598597465', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1598597467'}  消息处理总量:4条
2020-08-28 at 14:51:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1598597497', 'start_time': '1598597495', 'spider_name': 'caijing_sina_ssgs'}  消息处理总量:5条
2020-08-28 at 14:51:40 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_36kr_raw', 'end_time': '1598597505', 'start_time': '1598597505', 'spider_name': 'caijing_36kr_zixun'}  消息处理总量:2条
2020-08-28 at 14:51:46 | SUCCESS | 消息内容:{'end_time': '1598597523', 'collection_name': 'sy_news_finance_cnr_raw', 'spider_name': 'caijing_cnr_yaowen', 'start_time': '1598597522'}  消息处理总量:2条
2020-08-28 at 14:52:21 | SUCCESS | 消息内容:{'end_time': '1598597565', 'spider_name': 'caijing_jrj_chanjing', 'collection_name': 'sy_news_finance_jrj_raw', 'start_time': '1598597565'}  消息处理总量:1条
2020-08-28 at 14:52:28 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598597535', 'start_time': '1598597519', 'spider_name': 'caijing_eastmoney_stock_all'}  消息处理总量:14条
2020-08-28 at 14:53:26 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1598597623', 'start_time': '1598597622', 'spider_name': 'caijing_sina_chanjing'}  消息处理总量:3条
2020-08-28 at 14:53:41 | SUCCESS | 消息内容:{'start_time': '1598597643', 'spider_name': 'caijing_hexun_hongguan', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1598597643'}  消息处理总量:1条
2020-08-28 at 14:53:51 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cs_raw', 'end_time': '1598597465', 'start_time': '1598597465', 'spider_name': 'caijing_cs_cjyw'}  消息处理总量:1条
2020-08-28 at 14:53:54 | SUCCESS | 消息内容:{'start_time': '1598597622', 'collection_name': 'sy_news_finance_iyiou_raw', 'spider_name': 'caijing_iyiou_kuaixun', 'end_time': '1598597627'}  消息处理总量:2条
2020-08-28 at 14:54:35 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnstock_raw', 'end_time': '1598597696', 'start_time': '1598597692', 'spider_name': 'caijing_cnstock_ssgs'}  消息处理总量:8条
2020-08-28 at 14:54:55 | SUCCESS | 消息内容:{'start_time': '1598597683', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'end_time': '1598597694'}  消息处理总量:17条
2020-08-28 at 14:55:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1598597746', 'start_time': '1598597745', 'spider_name': 'caijing_jrj_gncj'}  消息处理总量:3条
