2020-09-01 at 09:22:53 | SUCCESS | 消息内容:{'end_time': '1598923286', 'start_time': '1598923286', 'spider_name': 'caijing_eastmoney_gsxw', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-09-01 at 09:22:58 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cyzone_raw', 'spider_name': 'caijing_cyzone_zuixin', 'start_time': '1598923258', 'end_time': '1598923261'}  消息处理总量:2条
2020-09-01 at 09:23:08 | SUCCESS | 消息内容:{'end_time': '1598923320', 'start_time': '1598923315', 'spider_name': 'caijing_hexun_gsyw', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:8条
2020-09-01 at 09:23:08 | SUCCESS | 消息内容:{'end_time': '1598923276', 'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1598923268', 'spider_name': 'caijing_eastmoney_ccjxw'}  消息处理总量:8条
2020-09-01 at 09:23:11 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnal_raw', 'start_time': '1598923273', 'spider_name': 'caijing_cnal_hyjj', 'end_time': '1598923277'}  消息处理总量:3条
2020-09-01 at 09:23:14 | SUCCESS | 消息内容:{'end_time': '1598923318', 'start_time': '1598923315', 'spider_name': 'caijing_cs_cjyw', 'collection_name': 'sy_news_finance_cs_raw'}  消息处理总量:2条
2020-09-01 at 09:23:23 | SUCCESS | 消息内容:{'end_time': '1598923355', 'collection_name': 'sy_news_finance_36kr_raw', 'start_time': '1598923354', 'spider_name': 'caijing_36kr_zixun'}  消息处理总量:2条
2020-09-01 at 09:23:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cs_raw', 'start_time': '1598923397', 'spider_name': 'caijing_cs_gongsi', 'end_time': '1598923403'}  消息处理总量:9条
2020-09-01 at 09:23:30 | SUCCESS | 消息内容:{'end_time': '1598923415', 'start_time': '1598923415', 'spider_name': 'caijing_jrj_chanjing', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:2条
2020-09-01 at 09:23:36 | SUCCESS | 消息内容:{'end_time': '1598923432', 'spider_name': 'caijing_china_ny', 'collection_name': 'sy_news_finance_china_raw', 'start_time': '1598923432'}  消息处理总量:1条
2020-09-01 at 09:23:45 | SUCCESS | 消息内容:{'end_time': '1598923443', 'spider_name': 'caijing_cb_chanye', 'start_time': '1598923443', 'collection_name': 'sy_news_finance_cb_raw'}  消息处理总量:1条
2020-09-01 at 09:24:36 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'start_time': '1598923472', 'end_time': '1598923474'}  消息处理总量:4条
2020-09-01 at 09:24:57 | SUCCESS | 消息内容:{'end_time': '1598923504', 'start_time': '1598923503', 'spider_name': 'caijing_southmoney_caijingyaowen', 'collection_name': 'sy_news_finance_southmoney_raw'}  消息处理总量:2条
2020-09-01 at 09:25:02 | SUCCESS | 消息内容:{'end_time': '1598923524', 'spider_name': 'caijing_cnstock_ssgs_all', 'collection_name': 'sy_news_finance_cnstock_raw', 'start_time': '1598923523'}  消息处理总量:3条
2020-09-01 at 09:25:33 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1598923513', 'spider_name': 'caijing_eastmoney_xinsanban_all', 'end_time': '1598923515'}  消息处理总量:4条
2020-09-01 at 09:25:46 | SUCCESS | 消息内容:{'end_time': '1598923566', 'start_time': '1598923565', 'spider_name': 'caijing_yicai_dz', 'collection_name': 'sy_news_finance_yicai_raw'}  消息处理总量:2条
2020-09-01 at 09:26:05 | SUCCESS | 消息内容:{'end_time': '1598923596', 'spider_name': 'hangye_szaeia_news', 'collection_name': 'sy_news_hangye_szaeia_raw', 'start_time': '1598923594'}  消息处理总量:4条
2020-09-01 at 09:26:10 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_leju_raw', 'spider_name': 'caijing_leju_lejucaijing_all', 'start_time': '1598923572', 'end_time': '1598923579'}  消息处理总量:3条
