2020-08-28 at 00:01:42 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_qq_raw', 'end_time': '1598544124', 'spider_name': 'caijing_qq_hongguan', 'start_time': '1598544122'}  消息处理总量:3条
2020-08-28 at 00:04:35 | SUCCESS | 消息内容:{'start_time': '1598544227', 'end_time': '1598544227', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_jigou_all'}  消息处理总量:1条
2020-08-28 at 00:05:49 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1598544304', 'spider_name': 'caijing_10jqka_cjyw', 'start_time': '1598544304'}  消息处理总量:0条
2020-08-28 at 00:08:49 | SUCCESS | 消息内容:{'start_time': '1598544545', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1598544547', 'spider_name': 'caijing_hexun_gsyw'}  消息处理总量:5条
2020-08-28 at 00:10:02 | SUCCESS | 消息内容:{'start_time': '1598544632', 'collection_name': 'sy_news_hangye_autohome_raw', 'end_time': '1598544633', 'spider_name': 'hangye_autohome_news'}  消息处理总量:3条
2020-08-28 at 00:11:17 | SUCCESS | 消息内容:{'start_time': '1598544555', 'end_time': '1598544620', 'collection_name': 'sy_news_finance_leju_raw', 'spider_name': 'caijing_leju_lejucaijing_all'}  消息处理总量:3条
2020-08-28 at 00:18:21 | SUCCESS | 消息内容:{'start_time': '1598545059', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598545096', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:3条
2020-08-28 at 00:20:27 | SUCCESS | 消息内容:{'start_time': '1598544925', 'collection_name': 'sy_news_finance_cnautonews_raw', 'end_time': '1598544925', 'spider_name': 'caijing_cnautonews_all'}  消息处理总量:1条
2020-08-28 at 00:22:10 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598545349', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1598545349'}  消息处理总量:1条
2020-08-28 at 00:23:47 | SUCCESS | 消息内容:{'start_time': '1598545425', 'end_time': '1598545427', 'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing'}  消息处理总量:2条
2020-08-28 at 00:28:53 | SUCCESS | 消息内容:{'start_time': '1598545755', 'collection_name': 'sy_news_finance_cnstock_raw', 'end_time': '1598545755', 'spider_name': 'caijing_cnstock_ssgs'}  消息处理总量:1条
2020-08-28 at 00:30:54 | SUCCESS | 消息内容:{'start_time': '1598545826', 'collection_name': 'sy_news_finance_guandian_raw', 'end_time': '1598545826', 'spider_name': 'caijing_guandian_news_all'}  消息处理总量:1条
2020-08-28 at 00:33:29 | SUCCESS | 消息内容:{'start_time': '1598545967', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598545994', 'spider_name': 'caijing_mysteel_zonghe_all'}  消息处理总量:2条
