2020-09-01 at 00:00:04 | SUCCESS | 消息内容:{'end_time': '1598861087', 'spider_name': 'caijing_cs_cjyw', 'start_time': '1598861083', 'collection_name': 'sy_news_finance_cs_raw'}  消息处理总量:6条
2020-09-01 at 00:00:11 | SUCCESS | 消息内容:{'end_time': '1598861115', 'spider_name': 'caijing_sina_ssgs', 'start_time': '1598861114', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-09-01 at 00:00:32 | SUCCESS | 消息内容:{'end_time': '1598861147', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598861135', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:11条
2020-09-01 at 00:00:37 | SUCCESS | 消息内容:{'end_time': '1598861125', 'spider_name': 'caijing_36kr_zixun', 'start_time': '1598861125', 'collection_name': 'sy_news_finance_36kr_raw'}  消息处理总量:1条
2020-09-01 at 00:00:48 | SUCCESS | 消息内容:{'end_time': '1598861168', 'spider_name': 'caijing_eastmoney_ganggu', 'start_time': '1598861165', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:4条
2020-09-01 at 00:00:50 | SUCCESS | 消息内容:{'end_time': '1598861239', 'spider_name': 'caijing_caijing_industry', 'start_time': '1598861239', 'collection_name': 'sy_news_finance_caijing_raw'}  消息处理总量:1条
2020-09-01 at 00:00:56 | SUCCESS | 消息内容:{'end_time': '1598861236', 'spider_name': 'caijing_chineseshipping_zixun_all', 'start_time': '1598861213', 'collection_name': 'sy_news_finance_chineseshipping_raw'}  消息处理总量:3条
2020-09-01 at 00:01:00 | SUCCESS | 消息内容:{'end_time': '1598861253', 'spider_name': 'caijing_10jqka_zqzx', 'start_time': '1598861248', 'collection_name': 'sy_news_finance_10jqka_raw'}  消息处理总量:1条
2020-09-01 at 00:01:04 | SUCCESS | 消息内容:{'end_time': '1598861283', 'spider_name': 'caijing_southmoney_caijingyaowen', 'start_time': '1598861283', 'collection_name': 'sy_news_finance_southmoney_raw'}  消息处理总量:1条
2020-09-01 at 00:01:07 | SUCCESS | 消息内容:{'end_time': '1598861287', 'spider_name': 'caijing_chinatimes_all', 'start_time': '1598861287', 'collection_name': 'sy_news_finance_chinatimes_raw'}  消息处理总量:0条
2020-09-01 at 00:01:10 | SUCCESS | 消息内容:{'end_time': '1598861177', 'spider_name': 'caijing_591hx_stock_all', 'start_time': '1598861177', 'collection_name': 'sy_news_finance_591hx_raw'}  消息处理总量:1条
2020-09-01 at 00:01:27 | SUCCESS | 消息内容:{'end_time': '1598861321', 'spider_name': 'caijing_eastmoney_hk_all', 'start_time': '1598861316', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:6条
2020-09-01 at 00:01:46 | SUCCESS | 消息内容:{'end_time': '1598861374', 'spider_name': 'caijing_yuncaijing_neican', 'start_time': '1598861366', 'collection_name': 'sy_news_finance_yuncaijing_raw'}  消息处理总量:12条
2020-09-01 at 00:01:50 | SUCCESS | 消息内容:{'end_time': '1598861384', 'spider_name': 'caijing_leju_lejucaijing_all', 'start_time': '1598861384', 'collection_name': 'sy_news_finance_leju_raw'}  消息处理总量:1条
2020-09-01 at 00:01:54 | SUCCESS | 消息内容:{'end_time': '1598861484', 'spider_name': 'caijing_china_hg', 'start_time': '1598861484', 'collection_name': 'sy_news_finance_china_raw'}  消息处理总量:1条
2020-09-01 at 00:01:57 | SUCCESS | 消息内容:{'end_time': '1598861498', 'spider_name': 'caijing_jrj_xsb', 'start_time': '1598861497', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:0条
2020-09-01 at 00:02:09 | SUCCESS | 消息内容:{'end_time': '1598861490', 'spider_name': 'caijing_eastday_caijing', 'start_time': '1598861481', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:4条
2020-09-01 at 00:03:16 | SUCCESS | 消息内容:{'end_time': '1598861549', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1598861528', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:36条
2020-09-01 at 00:03:23 | SUCCESS | 消息内容:{'end_time': '1598861694', 'spider_name': 'caijing_thepaper_cjgs', 'start_time': '1598861694', 'collection_name': 'sy_news_finance_thepaper_raw'}  消息处理总量:2条
2020-09-01 at 00:03:31 | SUCCESS | 消息内容:{'end_time': '1598861734', 'spider_name': 'caijing_sina_chanjing', 'start_time': '1598861734', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:1条
2020-09-01 at 00:03:37 | SUCCESS | 消息内容:{'end_time': '1598861736', 'spider_name': 'caijing_cnal_hyjj', 'start_time': '1598861736', 'collection_name': 'sy_news_finance_cnal_raw'}  消息处理总量:1条
2020-09-01 at 00:03:42 | SUCCESS | 消息内容:{'end_time': '1598861773', 'spider_name': 'caijing_chinatimes_all', 'start_time': '1598861773', 'collection_name': 'sy_news_finance_chinatimes_raw'}  消息处理总量:1条
2020-09-01 at 00:03:51 | SUCCESS | 消息内容:{'end_time': '1598861835', 'spider_name': 'caijing_eastmoney_czggng', 'start_time': '1598861835', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-09-01 at 00:04:02 | SUCCESS | 消息内容:{'end_time': '1598861867', 'spider_name': 'caijing_eastmoney_hk_all', 'start_time': '1598861864', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:4条
2020-09-01 at 00:04:09 | SUCCESS | 消息内容:{'end_time': '1598861865', 'spider_name': 'caijing_yuncaijing_neican', 'start_time': '1598861860', 'collection_name': 'sy_news_finance_yuncaijing_raw'}  消息处理总量:6条
2020-09-01 at 00:04:15 | SUCCESS | 消息内容:{'end_time': '1598861922', 'spider_name': 'caijing_winshang_yaowen_all', 'start_time': '1598861892', 'collection_name': 'sy_news_finance_winshang_raw'}  消息处理总量:2条
2020-09-01 at 00:04:21 | SUCCESS | 消息内容:{'end_time': '1598861967', 'spider_name': 'caijing_eastmoney_caijing', 'start_time': '1598861966', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:2条
2020-09-01 at 00:04:43 | SUCCESS | 消息内容:{'end_time': '1598861984', 'spider_name': 'caijing_leju_lejucaijing_all', 'start_time': '1598861917', 'collection_name': 'sy_news_finance_leju_raw'}  消息处理总量:11条
2020-09-01 at 00:04:53 | SUCCESS | 消息内容:{'end_time': '1598862065', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1598862063', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:4条
2020-09-01 at 00:05:02 | SUCCESS | 消息内容:{'end_time': '1598862096', 'spider_name': 'caijing_sina_ssgs', 'start_time': '1598862095', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-09-01 at 00:05:06 | SUCCESS | 消息内容:{'end_time': '1598862075', 'spider_name': 'caijing_guandian_news_all', 'start_time': '1598862075', 'collection_name': 'sy_news_finance_guandian_raw'}  消息处理总量:1条
2020-09-01 at 00:05:15 | SUCCESS | 消息内容:{'end_time': '1598862098', 'spider_name': 'caijing_eastmoney_jigou_all', 'start_time': '1598862098', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-09-01 at 00:05:18 | SUCCESS | 消息内容:{'end_time': '1598862106', 'spider_name': 'caijing_10jqka_cjyw', 'start_time': '1598862106', 'collection_name': 'sy_news_finance_10jqka_raw'}  消息处理总量:1条
2020-09-01 at 00:05:22 | SUCCESS | 消息内容:{'end_time': '1598862137', 'spider_name': 'caijing_eeo_caijing', 'start_time': '1598862137', 'collection_name': 'sy_news_finance_eeo_raw'}  消息处理总量:1条
2020-09-01 at 00:05:29 | SUCCESS | 消息内容:{'end_time': '1598862111', 'spider_name': 'caijing_sina_blog', 'start_time': '1598862111', 'collection_name': 'sy_news_finance_sina_blog_raw'}  消息处理总量:1条
2020-09-01 at 00:05:33 | SUCCESS | 消息内容:{'end_time': '1598862115', 'spider_name': 'caijing_smm_yaowen', 'start_time': '1598862115', 'collection_name': 'sy_news_finance_smm_raw'}  消息处理总量:1条
2020-09-01 at 00:05:36 | SUCCESS | 消息内容:{'end_time': '1598862210', 'spider_name': 'hangye_hqew_news', 'start_time': '1598862210', 'collection_name': 'sy_news_hangye_hqew_raw'}  消息处理总量:1条
2020-09-01 at 00:06:02 | SUCCESS | 消息内容:{'end_time': '1598862243', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598862232', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:15条
2020-09-01 at 00:06:07 | SUCCESS | 消息内容:{'end_time': '1598862347', 'spider_name': 'caijing_yuncaijing_neican', 'start_time': '1598862346', 'collection_name': 'sy_news_finance_yuncaijing_raw'}  消息处理总量:3条
2020-09-01 at 00:06:09 | SUCCESS | 消息内容:{'end_time': '1598862385', 'spider_name': 'caijing_stockstar_gs', 'start_time': '1598862385', 'collection_name': 'sy_news_finance_stockstar_raw'}  消息处理总量:1条
2020-09-01 at 00:06:15 | SUCCESS | 消息内容:{'end_time': '1598862383', 'spider_name': 'caijing_china_zq', 'start_time': '1598862383', 'collection_name': 'sy_news_finance_china_raw'}  消息处理总量:1条
2020-09-01 at 00:06:17 | SUCCESS | 消息内容:{'end_time': '1598862414', 'spider_name': 'hangye_bjx_yaowen', 'start_time': '1598862414', 'collection_name': 'sy_news_hangye_bjx_raw'}  消息处理总量:1条
2020-09-01 at 00:06:25 | SUCCESS | 消息内容:{'end_time': '1598862403', 'spider_name': 'caijing_sina_guonei', 'start_time': '1598862402', 'collection_name': 'sy_news_finance_sina_raw'}  消息处理总量:2条
2020-09-01 at 00:06:39 | SUCCESS | 消息内容:{'end_time': '1598862420', 'spider_name': 'caijing_eastmoney_hk_all', 'start_time': '1598862416', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:4条
2020-09-01 at 00:06:46 | SUCCESS | 消息内容:{'end_time': '1598862213', 'spider_name': 'caijing_china_chanjing', 'start_time': '1598862213', 'collection_name': 'sy_news_finance_china_raw'}  消息处理总量:1条
2020-09-01 at 00:06:54 | SUCCESS | 消息内容:{'end_time': '1598862444', 'spider_name': 'caijing_eastmoney_xinsanban_all', 'start_time': '1598862444', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-09-01 at 00:07:21 | SUCCESS | 消息内容:{'end_time': '1598862568', 'spider_name': 'caijing_hexun_gsyw', 'start_time': '1598862560', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:14条
2020-09-01 at 00:07:28 | SUCCESS | 消息内容:{'end_time': '1598862586', 'spider_name': 'caijing_lieyunwang_zixun', 'start_time': '1598862586', 'collection_name': 'sy_news_finance_lieyunwang_raw'}  消息处理总量:1条
2020-09-01 at 00:07:35 | SUCCESS | 消息内容:{'end_time': '1598862636', 'spider_name': 'caijing_eastmoney_ganggu', 'start_time': '1598862636', 'collection_name': 'sy_news_finance_eastmoney_raw'}  消息处理总量:1条
2020-09-01 at 00:07:39 | SUCCESS | 消息内容:{'end_time': '1598862647', 'spider_name': 'caijing_askci_gcy', 'start_time': '1598862646', 'collection_name': 'sy_news_finance_askci_raw'}  消息处理总量:2条
2020-09-01 at 00:07:49 | SUCCESS | 消息内容:{'end_time': '1598862654', 'spider_name': 'caijing_guandian_news_all', 'start_time': '1598862650', 'collection_name': 'sy_news_finance_guandian_raw'}  消息处理总量:2条
2020-09-01 at 00:08:01 | SUCCESS | 消息内容:{'end_time': '1598862692', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1598862658', 'collection_name': 'sy_news_finance_mysteel_raw'}  消息处理总量:3条
2020-09-01 at 00:08:05 | SUCCESS | 消息内容:{'end_time': '1598862732', 'spider_name': 'caijing_hexun_hongguan', 'start_time': '1598862732', 'collection_name': 'sy_news_finance_hexun_raw'}  消息处理总量:1条
