2020-09-01 at 00:00:09 | SUCCESS | 消息内容:{'start_time': '1598861083', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1598861090'}  消息处理总量:12条
2020-09-01 at 00:00:21 | SUCCESS | 消息内容:{'start_time': '1598861063', 'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_hyyj', 'end_time': '1598861070'}  消息处理总量:6条
2020-09-01 at 00:00:26 | SUCCESS | 消息内容:{'start_time': '1598861134', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_zqzx', 'end_time': '1598861134'}  消息处理总量:1条
2020-09-01 at 00:00:35 | SUCCESS | 消息内容:{'start_time': '1598861062', 'collection_name': 'sy_news_finance_thecapital_raw', 'spider_name': 'caijing_thecapital_zixun', 'end_time': '1598861062'}  消息处理总量:1条
2020-09-01 at 00:00:40 | SUCCESS | 消息内容:{'start_time': '1598861165', 'collection_name': 'sy_news_finance_stockstar_raw', 'spider_name': 'caijing_stockstar_gs', 'end_time': '1598861166'}  消息处理总量:4条
2020-09-01 at 00:00:44 | SUCCESS | 消息内容:{'start_time': '1598861131', 'collection_name': 'sy_news_finance_chinaventure_raw', 'spider_name': 'caijing_chinaventure_zbsc', 'end_time': '1598861131'}  消息处理总量:1条
2020-09-01 at 00:00:50 | SUCCESS | 消息内容:{'start_time': '1598861185', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_chanjing', 'end_time': '1598861185'}  消息处理总量:1条
2020-09-01 at 00:00:58 | SUCCESS | 消息内容:{'start_time': '1598861243', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'end_time': '1598861243'}  消息处理总量:1条
2020-09-01 at 00:01:06 | SUCCESS | 消息内容:{'start_time': '1598861272', 'collection_name': 'sy_news_finance_jxnews_raw', 'spider_name': 'caijing_jxnews_xw', 'end_time': '1598861274'}  消息处理总量:4条
2020-09-01 at 00:01:20 | SUCCESS | 消息内容:{'start_time': '1598861320', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cjjsp', 'end_time': '1598861322'}  消息处理总量:4条
2020-09-01 at 00:01:23 | SUCCESS | 消息内容:{'start_time': '1598861356', 'collection_name': 'sy_news_finance_cs_raw', 'spider_name': 'caijing_cs_jigou', 'end_time': '1598861356'}  消息处理总量:1条
2020-09-01 at 00:01:27 | SUCCESS | 消息内容:{'start_time': '1598861315', 'collection_name': 'sy_news_finance_zhicheng_raw', 'spider_name': 'caijing_zhicheng_caijing', 'end_time': '1598861315'}  消息处理总量:1条
2020-09-01 at 00:01:34 | SUCCESS | 消息内容:{'start_time': '1598861373', 'collection_name': 'sy_news_finance_bioon_raw', 'spider_name': 'caijing_bioon_zhyx', 'end_time': '1598861382'}  消息处理总量:2条
2020-09-01 at 00:01:38 | SUCCESS | 消息内容:{'start_time': '1598861391', 'collection_name': 'sy_news_finance_eccn_raw', 'spider_name': 'caijing_eccn_zxzx', 'end_time': '1598861391'}  消息处理总量:1条
2020-09-01 at 00:01:51 | SUCCESS | 消息内容:{'start_time': '1598861399', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'end_time': '1598861401'}  消息处理总量:4条
2020-09-01 at 00:01:56 | SUCCESS | 消息内容:{'start_time': '1598861478', 'collection_name': 'sy_news_finance_ccidcom_raw', 'spider_name': 'caijing_ccidcom_all', 'end_time': '1598861478'}  消息处理总量:1条
2020-09-01 at 00:02:00 | SUCCESS | 消息内容:{'start_time': '1598861533', 'collection_name': 'sy_news_hangye_ofweek_raw', 'spider_name': 'hangye_ofweek_led', 'end_time': '1598861533'}  消息处理总量:1条
