2020-09-02 at 00:00:43 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1598976026', 'start_time': '1598976024'}  消息处理总量:3条
2020-09-02 at 00:01:58 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_cgnjj', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598976118', 'start_time': '1598976058'}  消息处理总量:15条
2020-09-02 at 00:07:06 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1598976438', 'start_time': '1598976397'}  消息处理总量:3条
2020-09-02 at 00:08:21 | SUCCESS | 消息内容:{'spider_name': 'caijing_guandian_news_all', 'collection_name': 'sy_news_finance_guandian_raw', 'end_time': '1598976474', 'start_time': '1598976474'}  消息处理总量:1条
2020-09-02 at 00:10:03 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1598976624', 'start_time': '1598976624'}  消息处理总量:1条
2020-09-02 at 00:12:27 | SUCCESS | 消息内容:{'spider_name': 'caijing_bioon_zhyx', 'collection_name': 'sy_news_finance_bioon_raw', 'end_time': '1598976743', 'start_time': '1598976743'}  消息处理总量:0条
2020-09-02 at 00:16:17 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_whdd', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598976997', 'start_time': '1598976997'}  消息处理总量:1条
2020-09-02 at 00:17:05 | SUCCESS | 消息内容:{'spider_name': 'caijing_yuncaijing_neican', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'end_time': '1598977008', 'start_time': '1598977004'}  消息处理总量:4条
2020-09-02 at 00:19:29 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598977171', 'start_time': '1598977168'}  消息处理总量:6条
2020-09-02 at 00:21:09 | SUCCESS | 消息内容:{'spider_name': 'caijing_21ic_tuijian', 'collection_name': 'sy_news_finance_21ic_raw', 'end_time': '1598977286', 'start_time': '1598977276'}  消息处理总量:4条
2020-09-02 at 00:22:23 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all', 'end_time': '1598977365', 'start_time': '1598977365'}  消息处理总量:1条
