2020-09-02 at 00:00:58 | SUCCESS | 消息内容:{'start_time': '1598976041', 'collection_name': 'sy_news_finance_cyzone_raw', 'spider_name': 'caijing_cyzone_zuixin', 'end_time': '1598976041'}  消息处理总量:1条
2020-09-02 at 00:01:54 | SUCCESS | 消息内容:{'start_time': '1598976136', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1598976136'}  消息处理总量:1条
2020-09-02 at 00:07:07 | SUCCESS | 消息内容:{'start_time': '1598976443', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_whdd', 'end_time': '1598976443'}  消息处理总量:1条
2020-09-02 at 00:09:04 | SUCCESS | 消息内容:{'end_time': '1598976533', 'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_zqzx', 'start_time': '1598976533'}  消息处理总量:1条
2020-09-02 at 00:11:04 | SUCCESS | 消息内容:{'end_time': '1598976674', 'collection_name': 'sy_news_finance_qq_raw', 'spider_name': 'caijing_qq_zhaiquan', 'start_time': '1598976664'}  消息处理总量:3条
2020-09-02 at 00:14:06 | SUCCESS | 消息内容:{'start_time': '1598976825', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_chanjing', 'end_time': '1598976832'}  消息处理总量:13条
2020-09-02 at 00:17:03 | SUCCESS | 消息内容:{'start_time': '1598977018', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'end_time': '1598977029'}  消息处理总量:3条
2020-09-02 at 00:17:32 | SUCCESS | 消息内容:{'end_time': '1598977026', 'collection_name': 'sy_news_finance_guandian_raw', 'spider_name': 'caijing_guandian_news_all', 'start_time': '1598977026'}  消息处理总量:1条
2020-09-02 at 00:19:35 | SUCCESS | 消息内容:{'end_time': '1598977195', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598977195'}  消息处理总量:1条
2020-09-02 at 00:21:12 | SUCCESS | 消息内容:{'start_time': '1598977294', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ganggu', 'end_time': '1598977294'}  消息处理总量:1条
2020-09-02 at 00:22:31 | SUCCESS | 消息内容:{'end_time': '1598977332', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1598977309'}  消息处理总量:3条
2020-09-02 at 00:24:31 | SUCCESS | 消息内容:{'end_time': '1598977495', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_gncj', 'start_time': '1598977495'}  消息处理总量:1条
2020-09-02 at 00:25:41 | SUCCESS | 消息内容:{'end_time': '1598977564', 'collection_name': 'sy_news_finance_qq_raw', 'spider_name': 'caijing_qq_hongguan', 'start_time': '1598977564'}  消息处理总量:1条
2020-09-02 at 00:28:41 | SUCCESS | 消息内容:{'end_time': '1598977744', 'collection_name': 'sy_news_finance_qq_raw', 'spider_name': 'caijing_qq_Agu', 'start_time': '1598977744'}  消息处理总量:1条
2020-09-02 at 02:17:25 | SUCCESS | 消息内容:{'start_time': '1598980042', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1598980077'}  消息处理总量:3条
2020-09-02 at 02:17:33 | SUCCESS | 消息内容:{'start_time': '1598980804', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'end_time': '1598980804'}  消息处理总量:2条
2020-09-02 at 02:17:48 | SUCCESS | 消息内容:{'start_time': '1598980984', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'end_time': '1598980986'}  消息处理总量:4条
2020-09-02 at 02:18:04 | SUCCESS | 消息内容:{'end_time': '1598981294', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'start_time': '1598981293'}  消息处理总量:3条
2020-09-02 at 02:18:32 | SUCCESS | 消息内容:{'start_time': '1598981905', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_gncj', 'end_time': '1598981907'}  消息处理总量:5条
2020-09-02 at 02:18:48 | SUCCESS | 消息内容:{'start_time': '1598982774', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1598982805'}  消息处理总量:3条
2020-09-02 at 02:18:56 | SUCCESS | 消息内容:{'end_time': '1598983136', 'collection_name': 'sy_news_finance_huxiu_raw', 'spider_name': 'caijing_huxiu_zixun', 'start_time': '1598983136'}  消息处理总量:1条
2020-09-02 at 02:18:58 | SUCCESS | 消息内容:{'end_time': '1598983457', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'start_time': '1598983455'}  消息处理总量:0条
2020-09-02 at 02:19:11 | SUCCESS | 消息内容:{'end_time': '1598983724', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1598983697'}  消息处理总量:3条
2020-09-02 at 02:19:28 | SUCCESS | 消息内容:{'end_time': '1598984032', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'start_time': '1598984028'}  消息处理总量:3条
2020-09-02 at 02:23:36 | SUCCESS | 消息内容:{'start_time': '1598984588', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1598984598'}  消息处理总量:3条
2020-09-02 at 02:28:20 | SUCCESS | 消息内容:{'end_time': '1598984927', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'start_time': '1598984926'}  消息处理总量:0条
2020-09-02 at 02:46:05 | SUCCESS | 消息内容:{'end_time': '1598985951', 'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'start_time': '1598985951'}  消息处理总量:1条
2020-09-02 at 02:53:17 | SUCCESS | 消息内容:{'start_time': '1598986420', 'collection_name': 'sy_news_finance_qq_raw', 'spider_name': 'caijing_qq_chanye', 'end_time': '1598986420'}  消息处理总量:1条
2020-09-02 at 02:56:11 | SUCCESS | 消息内容:{'start_time': '1598986594', 'collection_name': 'sy_news_finance_qq_raw', 'spider_name': 'caijing_qq_hongguan', 'end_time': '1598986594'}  消息处理总量:1条
2020-09-02 at 03:08:23 | SUCCESS | 消息内容:{'end_time': '1598987294', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'start_time': '1598987294'}  消息处理总量:1条
2020-09-02 at 03:24:12 | SUCCESS | 消息内容:{'start_time': '1598988275', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_gncj', 'end_time': '1598988275'}  消息处理总量:1条
2020-09-02 at 03:36:57 | SUCCESS | 消息内容:{'end_time': '1598989024', 'collection_name': 'sy_news_finance_qianlong_raw', 'spider_name': 'caijing_qianlong_jingji', 'start_time': '1598989024'}  消息处理总量:1条
2020-09-02 at 03:39:33 | SUCCESS | 消息内容:{'end_time': '1598989189', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1598989170'}  消息处理总量:2条
2020-09-02 at 03:41:49 | SUCCESS | 消息内容:{'start_time': '1598989336', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'end_time': '1598989336'}  消息处理总量:0条
2020-09-02 at 03:49:18 | SUCCESS | 消息内容:{'start_time': '1598989782', 'collection_name': 'sy_news_finance_qq_raw', 'spider_name': 'caijing_qq_Agu', 'end_time': '1598989782'}  消息处理总量:1条
2020-09-02 at 03:53:18 | SUCCESS | 消息内容:{'end_time': '1598990017', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_hk_all', 'start_time': '1598990017'}  消息处理总量:1条
2020-09-02 at 03:57:32 | SUCCESS | 消息内容:{'end_time': '1598990270', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'start_time': '1598990269'}  消息处理总量:3条
2020-09-02 at 03:59:45 | SUCCESS | 消息内容:{'end_time': '1598990389', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'start_time': '1598990385'}  消息处理总量:3条
2020-09-02 at 04:09:44 | SUCCESS | 消息内容:{'end_time': '1598990992', 'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1598990957'}  消息处理总量:3条
2020-09-02 at 04:15:23 | SUCCESS | 消息内容:{'start_time': '1598991307', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'end_time': '1598991326'}  消息处理总量:5条
