2020-09-02 at 00:01:20 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_gsxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598976094', 'start_time': '1598976083'}  消息处理总量:5条
2020-09-02 at 00:03:21 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598976199', 'start_time': '1598976189'}  消息处理总量:19条
2020-09-02 at 00:07:48 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_stock_all', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598976489', 'start_time': '1598976489'}  消息处理总量:1条
2020-09-02 at 00:09:29 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_ss', 'end_time': '1598976596', 'start_time': '1598976595'}  消息处理总量:0条
2020-09-02 at 00:11:02 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_ccjxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598976680', 'start_time': '1598976679'}  消息处理总量:2条
2020-09-02 at 00:14:44 | SUCCESS | 消息内容:{'spider_name': 'caijing_hexun_hongguan', 'collection_name': 'sy_news_finance_hexun_raw', 'end_time': '1598976904', 'start_time': '1598976904'}  消息处理总量:1条
2020-09-02 at 00:17:03 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'end_time': '1598977043', 'start_time': '1598977043'}  消息处理总量:1条
2020-09-02 at 00:18:11 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_caijing', 'end_time': '1598977114', 'start_time': '1598977114'}  消息处理总量:1条
2020-09-02 at 00:19:46 | SUCCESS | 消息内容:{'spider_name': 'caijing_10jqka_zqzx', 'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1598977144', 'start_time': '1598977144'}  消息处理总量:2条
2020-09-02 at 00:21:53 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_chanjing', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1598977319', 'start_time': '1598977316'}  消息处理总量:7条
2020-09-02 at 00:22:45 | SUCCESS | 消息内容:{'spider_name': 'caijing_qq_chanye', 'collection_name': 'sy_news_finance_qq_raw', 'end_time': '1598977382', 'start_time': '1598977382'}  消息处理总量:1条
2020-09-02 at 00:25:08 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_cgnjj', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598977526', 'start_time': '1598977526'}  消息处理总量:2条
2020-09-02 at 00:26:05 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_stock_all', 'end_time': '1598977568', 'start_time': '1598977568'}  消息处理总量:1条
2020-09-02 at 00:30:41 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'end_time': '1598977866', 'start_time': '1598977866'}  消息处理总量:1条
2020-09-02 at 02:17:09 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1598980108', 'start_time': '1598980108'}  消息处理总量:1条
2020-09-02 at 02:17:16 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1598980436', 'start_time': '1598980436'}  消息处理总量:1条
2020-09-02 at 02:17:33 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei', 'end_time': '1598980493', 'start_time': '1598980492'}  消息处理总量:3条
2020-09-02 at 02:17:36 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1598980924', 'start_time': '1598980924'}  消息处理总量:1条
2020-09-02 at 02:17:53 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_mysteel_raw', 'spider_name': 'caijing_mysteel_zonghe_all', 'end_time': '1598980970', 'start_time': '1598980961'}  消息处理总量:3条
2020-09-02 at 02:17:57 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1598981416', 'start_time': '1598981416'}  消息处理总量:1条
2020-09-02 at 02:18:08 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastday_raw', 'spider_name': 'caijing_eastday_caijing', 'end_time': '1598981526', 'start_time': '1598981524'}  消息处理总量:2条
2020-09-02 at 02:18:18 | SUCCESS | 消息内容:{'spider_name': 'caijing_yuncaijing_neican', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'end_time': '1598981943', 'start_time': '1598981936'}  消息处理总量:4条
2020-09-02 at 02:18:21 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_10jqka_raw', 'spider_name': 'caijing_10jqka_zqzx', 'end_time': '1598982033', 'start_time': '1598982033'}  消息处理总量:0条
2020-09-02 at 02:18:35 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_gncj', 'end_time': '1598982397', 'start_time': '1598982396'}  消息处理总量:2条
2020-09-02 at 02:18:39 | SUCCESS | 消息内容:{'spider_name': 'caijing_10jqka_cjyw', 'collection_name': 'sy_news_finance_10jqka_raw', 'end_time': '1598982893', 'start_time': '1598982893'}  消息处理总量:1条
2020-09-02 at 02:18:47 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj', 'end_time': '1598982918', 'start_time': '1598982918'}  消息处理总量:1条
2020-09-02 at 02:18:55 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1598982889', 'start_time': '1598982883'}  消息处理总量:2条
2020-09-02 at 02:19:02 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_cgnjj', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598983410', 'start_time': '1598983410'}  消息处理总量:1条
2020-09-02 at 02:19:14 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_gsxw', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598983787', 'start_time': '1598983783'}  消息处理总量:2条
2020-09-02 at 02:19:20 | SUCCESS | 消息内容:{'spider_name': 'caijing_jrj_gncj', 'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1598984355', 'start_time': '1598984355'}  消息处理总量:1条
2020-09-02 at 02:19:23 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican', 'end_time': '1598984354', 'start_time': '1598984354'}  消息处理总量:1条
2020-09-02 at 02:19:45 | SUCCESS | 消息内容:{'spider_name': 'caijing_zhicheng_caijing', 'collection_name': 'sy_news_finance_zhicheng_raw', 'end_time': '1598984411', 'start_time': '1598984411'}  消息处理总量:1条
2020-09-02 at 02:25:12 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastmoney_stock_all', 'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1598984727', 'start_time': '1598984727'}  消息处理总量:1条
2020-09-02 at 02:38:44 | SUCCESS | 消息内容:{'spider_name': 'caijing_mysteel_zonghe_all', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598985520', 'start_time': '1598985520'}  消息处理总量:2条
2020-09-02 at 02:49:35 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'end_time': '1598986193', 'start_time': '1598986193'}  消息处理总量:2条
2020-09-02 at 02:53:55 | SUCCESS | 消息内容:{'spider_name': 'caijing_mysteel_zonghe_all', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598986447', 'start_time': '1598986405'}  消息处理总量:3条
2020-09-02 at 02:58:40 | SUCCESS | 消息内容:{'spider_name': 'caijing_wx_gongzhonghao_all', 'collection_name': 'sy_news_finance_wx_raw', 'end_time': '1598986691', 'start_time': '1598986391'}  消息处理总量:6条
2020-09-02 at 03:09:05 | SUCCESS | 消息内容:{'spider_name': 'caijing_mysteel_zonghe_all', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1598987361', 'start_time': '1598987350'}  消息处理总量:2条
