2020-09-09 at 09:48:22 | SUCCESS | 消息内容:{'spider_name': 'caijing_csi_yeneizixun_all', 'start_time': '1599026904', 'collection_name': 'sy_news_finance_csi_raw', 'end_time': '1599026904'}  消息处理总量:1条
2020-09-09 at 09:48:37 | SUCCESS | 消息内容:{'spider_name': 'caijing_leju_lejucaijing_all', 'start_time': '1599026907', 'collection_name': 'sy_news_finance_leju_raw', 'end_time': '1599026913'}  消息处理总量:3条
2020-09-09 at 09:49:48 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_yuncaijing_raw', 'end_time': '1599026985', 'start_time': '1599026984', 'spider_name': 'caijing_yuncaijing_neican'}  消息处理总量:3条
2020-09-09 at 09:49:54 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sipf_raw', 'end_time': '1599026994', 'start_time': '1599026964', 'spider_name': 'caijing_sipf_gnjj'}  消息处理总量:3条
2020-09-09 at 09:50:19 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1599027021', 'start_time': '1599027019', 'spider_name': 'caijing_eastmoney_cgnjj'}  消息处理总量:4条
2020-09-09 at 09:50:30 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_sina_raw', 'end_time': '1599027044', 'start_time': '1599027044', 'spider_name': 'caijing_sina_guonei'}  消息处理总量:1条
2020-09-09 at 09:50:38 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_jrj_raw', 'end_time': '1599027064', 'start_time': '1599027064', 'spider_name': 'caijing_jrj_ss'}  消息处理总量:0条
2020-09-09 at 09:51:00 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1599027079', 'start_time': '1599027073', 'spider_name': 'caijing_eastmoney_stock_all'}  消息处理总量:5条
2020-09-09 at 09:51:20 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'end_time': '1599027099', 'start_time': '1599027096', 'spider_name': 'caijing_eastmoney_caijing'}  消息处理总量:7条
2020-09-09 at 09:51:25 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cs_raw', 'end_time': '1599027099', 'start_time': '1599027099', 'spider_name': 'caijing_cs_gongsi'}  消息处理总量:1条
2020-09-09 at 09:51:30 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnstock_raw', 'end_time': '1599027104', 'start_time': '1599027104', 'spider_name': 'caijing_cnstock_stock_all'}  消息处理总量:1条
2020-09-09 at 09:51:38 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_cnstock_raw', 'end_time': '1599027113', 'start_time': '1599027113', 'spider_name': 'caijing_cnstock_news_all'}  消息处理总量:1条
2020-09-09 at 09:51:42 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_guandian_raw', 'end_time': '1599027074', 'start_time': '1599027074', 'spider_name': 'caijing_guandian_news_all'}  消息处理总量:1条
2020-09-09 at 10:05:10 | SUCCESS | 消息内容:{'spider_name': 'caijing_eastday_caijing', 'end_time': '1599027097', 'start_time': '1599027097', 'collection_name': 'sy_news_finance_eastday_raw'}  消息处理总量:1条
2020-09-09 at 10:14:25 | SUCCESS | 消息内容:{'start_time': '1599027148', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_ccjxw', 'end_time': '1599027156'}  消息处理总量:11条
2020-09-09 at 10:14:28 | SUCCESS | 消息内容:{'start_time': '1599027197', 'collection_name': 'sy_news_finance_thepaper_raw', 'spider_name': 'caijing_thepaper_cjgs', 'end_time': '1599027197'}  消息处理总量:1条
2020-09-09 at 10:14:41 | SUCCESS | 消息内容:{'start_time': '1599027195', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_gsyw', 'end_time': '1599027197'}  消息处理总量:5条
2020-09-09 at 10:14:50 | SUCCESS | 消息内容:{'start_time': '1599027204', 'collection_name': 'sy_news_finance_p5w_raw', 'spider_name': 'caijing_p5w_weyt', 'end_time': '1599027204'}  消息处理总量:1条
2020-09-09 at 10:15:11 | SUCCESS | 消息内容:{'start_time': '1599027236', 'collection_name': 'sy_news_hangye_bmlink_raw', 'spider_name': 'hangye_bmlink_marketnews', 'end_time': '1599027237'}  消息处理总量:3条
2020-09-09 at 10:15:27 | SUCCESS | 消息内容:{'start_time': '1599027205', 'collection_name': 'sy_news_finance_southmoney_raw', 'spider_name': 'caijing_southmoney_caijingyaowen', 'end_time': '1599027205'}  消息处理总量:1条
2020-09-09 at 10:16:11 | SUCCESS | 消息内容:{'start_time': '1599027234', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_gsxw', 'end_time': '1599027246'}  消息处理总量:18条
2020-09-09 at 10:16:18 | SUCCESS | 消息内容:{'start_time': '1599027262', 'collection_name': 'sy_news_finance_china_raw', 'spider_name': 'caijing_china_bank', 'end_time': '1599027262'}  消息处理总量:1条
2020-09-09 at 10:16:57 | SUCCESS | 消息内容:{'start_time': '1599027207', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_xinsanban_all', 'end_time': '1599027282'}  消息处理总量:24条
2020-09-09 at 10:17:02 | SUCCESS | 消息内容:{'start_time': '1599027294', 'collection_name': 'sy_news_finance_jrj_raw', 'spider_name': 'caijing_jrj_chanjing', 'end_time': '1599027294'}  消息处理总量:1条
2020-09-09 at 10:17:06 | SUCCESS | 消息内容:{'start_time': '1599027283', 'collection_name': 'sy_news_finance_lieyunwang_raw', 'spider_name': 'caijing_lieyunwang_zixun', 'end_time': '1599027283'}  消息处理总量:2条
2020-09-09 at 10:17:10 | SUCCESS | 消息内容:{'start_time': '1599027310', 'collection_name': 'sy_news_finance_eccn_raw', 'spider_name': 'caijing_eccn_zxzx', 'end_time': '1599027310'}  消息处理总量:1条
2020-09-09 at 10:17:13 | SUCCESS | 消息内容:{'start_time': '1599027345', 'collection_name': 'sy_news_hangye_c114_raw', 'spider_name': 'hangye_c114_market', 'end_time': '1599027345'}  消息处理总量:1条
2020-09-09 at 10:17:19 | SUCCESS | 消息内容:{'start_time': '1599027354', 'collection_name': 'sy_news_hangye_cbcie_raw', 'spider_name': 'hangye_cbcie_news', 'end_time': '1599027354'}  消息处理总量:1条
2020-09-09 at 10:17:34 | SUCCESS | 消息内容:{'start_time': '1599027353', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_chanjing', 'end_time': '1599027357'}  消息处理总量:5条
2020-09-09 at 10:17:43 | SUCCESS | 消息内容:{'start_time': '1599027376', 'collection_name': 'sy_news_finance_thepaper_raw', 'spider_name': 'caijing_thepaper_cjsxy', 'end_time': '1599027376'}  消息处理总量:2条
2020-09-09 at 10:17:48 | SUCCESS | 消息内容:{'start_time': '1599027373', 'collection_name': 'sy_news_finance_hexun_raw', 'spider_name': 'caijing_hexun_hongguan', 'end_time': '1599027373'}  消息处理总量:1条
2020-09-09 at 10:17:52 | SUCCESS | 消息内容:{'start_time': '1599027354', 'collection_name': 'sy_news_finance_iyiou_raw', 'spider_name': 'caijing_iyiou_kuaixun', 'end_time': '1599027356'}  消息处理总量:2条
2020-09-09 at 10:17:57 | SUCCESS | 消息内容:{'start_time': '1599027402', 'collection_name': 'sy_news_finance_china_raw', 'spider_name': 'caijing_china_hg', 'end_time': '1599027402'}  消息处理总量:1条
2020-09-09 at 10:53:55 | SUCCESS | 消息内容:{'spider_name': 'caijing_mysteel_zonghe_all', 'start_time': '1599027354', 'collection_name': 'sy_news_finance_mysteel_raw', 'end_time': '1599027384'}  消息处理总量:5条
2020-09-09 at 10:56:41 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1599027347', 'spider_name': 'caijing_eastmoney_jigou_all', 'end_time': '1599027373'}  消息处理总量:4条
2020-09-09 at 10:57:23 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_bjx_raw', 'start_time': '1599027419', 'end_time': '1599027419', 'spider_name': 'caijing_bjx_yaowen'}  消息处理总量:1条
2020-09-09 at 10:57:28 | SUCCESS | 消息内容:{'collection_name': 'sy_news_hangye_ic_ceca_raw', 'start_time': '1599027442', 'end_time': '1599027442', 'spider_name': 'hangye_ic_ceca_news'}  消息处理总量:1条
2020-09-09 at 11:00:09 | SUCCESS | 消息内容:{'collection_name': 'sy_news_finance_eastmoney_raw', 'start_time': '1599027418', 'end_time': '1599027422', 'spider_name': 'caijing_eastmoney_hk_all'}  消息处理总量:7条
2020-09-09 at 11:01:31 | SUCCESS | 消息内容:{'start_time': '1599027464', 'spider_name': 'caijing_qianlong_jingji', 'end_time': '1599027472', 'collection_name': 'sy_news_finance_qianlong_raw'}  消息处理总量:15条
2020-09-09 at 11:01:40 | SUCCESS | 消息内容:{'start_time': '1599027475', 'spider_name': 'caijing_jrj_gncj', 'end_time': '1599027477', 'collection_name': 'sy_news_finance_jrj_raw'}  消息处理总量:4条
2020-09-09 at 11:01:50 | SUCCESS | 消息内容:{'start_time': '1599027488', 'end_time': '1599027488', 'collection_name': 'sy_news_finance_csi_raw', 'spider_name': 'caijing_csi_yeneizixun_all'}  消息处理总量:1条
2020-09-09 at 11:01:53 | SUCCESS | 消息内容:{'start_time': '1599027474', 'end_time': '1599027474', 'collection_name': 'sy_news_finance_yuncaijing_raw', 'spider_name': 'caijing_yuncaijing_neican'}  消息处理总量:1条
2020-09-09 at 11:02:06 | SUCCESS | 消息内容:{'start_time': '1599027509', 'end_time': '1599027517', 'collection_name': 'sy_news_finance_eastmoney_raw', 'spider_name': 'caijing_eastmoney_cgnjj'}  消息处理总量:5条
2020-09-09 at 11:02:10 | SUCCESS | 消息内容:{'start_time': '1599027544', 'end_time': '1599027545', 'collection_name': 'sy_news_hangye_bjx_raw', 'spider_name': 'hangye_bjx_yaowen'}  消息处理总量:3条
2020-09-09 at 11:02:15 | SUCCESS | 消息内容:{'start_time': '1599027532', 'end_time': '1599027532', 'collection_name': 'sy_news_finance_sina_raw', 'spider_name': 'caijing_sina_guonei'}  消息处理总量:1条
2020-09-09 at 11:02:21 | SUCCESS | 消息内容:{'start_time': '1599027467', 'end_time': '1599027467', 'collection_name': 'sy_news_finance_chinaventure_raw', 'spider_name': 'caijing_chinaventure_tuijian'}  消息处理总量:1条
